st_case,veh_no,per_no,race,multrace
63779,1,1,Unknown,No
63779,1,2,Unknown,No
63779,1,3,Not a Fatality (not Applicable),No
63779,2,1,Not a Fatality (not Applicable),No
63779,2,2,Not a Fatality (not Applicable),No
63779,2,3,Unknown,No
63779,2,4,Not a Fatality (not Applicable),No
63780,0,1,Unknown,No
63780,1,1,Not a Fatality (not Applicable),No
63781,1,1,Unknown,No
63782,1,1,Unknown,No
63783,1,1,Unknown,No
63783,2,1,Not a Fatality (not Applicable),No
63783,2,2,Not a Fatality (not Applicable),No
63783,2,3,Not a Fatality (not Applicable),No
63783,2,4,Not a Fatality (not Applicable),No
63784,0,1,Unknown,No
63784,1,1,Not a Fatality (not Applicable),No
63785,1,1,Not a Fatality (not Applicable),No
63785,1,2,Not a Fatality (not Applicable),No
63785,1,3,Not a Fatality (not Applicable),No
63785,2,1,Unknown,No
63786,1,1,Not a Fatality (not Applicable),No
63786,1,2,Unknown,No
63786,1,3,Not a Fatality (not Applicable),No
63786,1,4,Not a Fatality (not Applicable),No
63786,1,5,Not a Fatality (not Applicable),No
63787,0,1,Unknown,No
63787,1,1,Not a Fatality (not Applicable),No
63787,2,1,Not a Fatality (not Applicable),No
63788,1,1,Unknown,No
63788,1,2,Not a Fatality (not Applicable),No
63788,2,1,Not a Fatality (not Applicable),No
63789,0,1,Unknown,No
63789,0,2,Not a Fatality (not Applicable),No
63789,0,3,Not a Fatality (not Applicable),No
63789,1,1,Not a Fatality (not Applicable),No
63791,1,1,Not a Fatality (not Applicable),No
63791,2,1,Unknown,No
63792,0,1,Unknown,No
63792,1,1,Not a Fatality (not Applicable),No
63793,0,1,Unknown,No
63793,1,1,Not a Fatality (not Applicable),No
63794,0,1,Unknown,No
63794,1,1,Not a Fatality (not Applicable),No
63795,0,1,Unknown,No
63795,1,1,Not a Fatality (not Applicable),No
63796,1,1,Unknown,No
63797,0,1,Unknown,No
63797,1,1,Not a Fatality (not Applicable),No
63798,0,1,Unknown,No
63798,1,1,Not a Fatality (not Applicable),No
63799,1,1,Unknown,No
63800,0,1,Unknown,No
63800,1,1,Not a Fatality (not Applicable),No
63801,0,1,Unknown,No
63801,1,1,Not a Fatality (not Applicable),No
63802,1,1,Unknown,No
63802,2,1,Not a Fatality (not Applicable),No
63803,0,1,Unknown,No
63803,1,1,Not a Fatality (not Applicable),No
63803,1,2,Not a Fatality (not Applicable),No
63804,0,1,Unknown,No
63804,0,2,Unknown,No
63804,1,1,Not a Fatality (not Applicable),No
63805,1,1,Unknown,No
63805,2,1,Not a Fatality (not Applicable),No
63806,0,1,Unknown,No
63806,1,1,Not a Fatality (not Applicable),No
63807,0,1,Unknown,No
63807,1,1,Not a Fatality (not Applicable),No
63808,0,1,Unknown,No
63808,1,1,Not a Fatality (not Applicable),No
63809,0,1,Unknown,No
63809,1,1,Not a Fatality (not Applicable),No
63809,1,2,Not a Fatality (not Applicable),No
63809,1,3,Not a Fatality (not Applicable),No
63810,1,1,Not a Fatality (not Applicable),No
63810,1,2,Unknown,No
63810,2,1,Not a Fatality (not Applicable),No
63810,3,1,Not a Fatality (not Applicable),No
63810,3,2,Not a Fatality (not Applicable),No
63811,0,1,Unknown,No
63811,1,1,Not a Fatality (not Applicable),No
63812,0,1,Unknown,No
63812,1,1,Not a Fatality (not Applicable),No
63812,1,2,Not a Fatality (not Applicable),No
63813,1,1,Unknown,No
63814,0,1,Unknown,No
63814,1,1,Not a Fatality (not Applicable),No
63815,0,1,Unknown,No
63815,1,1,Not a Fatality (not Applicable),No
63816,0,1,Unknown,No
63816,1,1,Not a Fatality (not Applicable),No
63817,1,1,Unknown,No
63817,2,1,Not a Fatality (not Applicable),No
63818,1,1,Unknown,No
63819,1,1,Unknown,No
63820,0,1,Unknown,No
63820,1,1,Not a Fatality (not Applicable),No
63820,1,2,Not a Fatality (not Applicable),No
63820,1,3,Not a Fatality (not Applicable),No
63821,1,1,Unknown,No
63821,2,1,Not a Fatality (not Applicable),No
63821,2,2,Not a Fatality (not Applicable),No
63821,2,3,Not a Fatality (not Applicable),No
63822,1,1,Not a Fatality (not Applicable),No
63822,1,2,Not a Fatality (not Applicable),No
63822,1,3,Not a Fatality (not Applicable),No
63822,2,1,Unknown,No
63822,2,2,Unknown,No
63822,2,3,Not a Fatality (not Applicable),No
63822,2,4,Not a Fatality (not Applicable),No
63823,1,1,Unknown,No
63824,0,1,White,No
63824,1,1,Not a Fatality (not Applicable),No
63825,1,1,Unknown,No
63826,1,1,Not a Fatality (not Applicable),No
63826,1,2,Unknown,No
63826,2,1,Not a Fatality (not Applicable),No
63826,2,2,Not a Fatality (not Applicable),No
63827,0,1,Unknown,No
63827,1,1,Not a Fatality (not Applicable),No
63828,1,1,Unknown,No
63828,2,1,Not a Fatality (not Applicable),No
63829,1,1,Unknown,No
63830,1,1,Unknown,No
63831,0,1,Unknown,No
63831,0,2,Not a Fatality (not Applicable),No
63831,1,1,Not a Fatality (not Applicable),No
63831,2,1,Not a Fatality (not Applicable),No
63831,3,1,Not a Fatality (not Applicable),No
63832,0,1,Unknown,No
63832,1,1,Not a Fatality (not Applicable),No
63833,1,1,Unknown,No
63833,1,2,Not a Fatality (not Applicable),No
63833,2,1,Not a Fatality (not Applicable),No
63833,2,2,Not a Fatality (not Applicable),No
63833,2,3,Unknown,No
63834,1,1,Not a Fatality (not Applicable),No
63834,1,2,Unknown,No
63834,2,1,Not a Fatality (not Applicable),No
63834,2,2,Not a Fatality (not Applicable),No
63835,0,1,Unknown,No
63835,0,2,Unknown,No
63835,1,1,Not a Fatality (not Applicable),No
63836,1,1,Not a Fatality (not Applicable),No
63836,2,1,White,No
63836,2,2,White,No
63837,0,1,Unknown,No
63837,1,1,Not a Fatality (not Applicable),No
63838,1,1,Unknown,No
63839,1,1,Unknown,No
63839,1,2,Unknown,No
63840,1,1,Unknown,No
63841,0,1,Unknown,No
63841,1,1,Not a Fatality (not Applicable),No
63841,1,2,Not a Fatality (not Applicable),No
63842,1,1,Not a Fatality (not Applicable),No
63842,2,1,Unknown,No
63843,1,1,Not a Fatality (not Applicable),No
63843,2,1,Unknown,No
63844,0,1,Unknown,No
63844,1,1,Not a Fatality (not Applicable),No
63845,0,1,Unknown,No
63845,1,1,Not a Fatality (not Applicable),No
63846,1,1,Unknown,No
63846,2,1,Not a Fatality (not Applicable),No
63847,0,1,Unknown,No
63847,1,1,Not a Fatality (not Applicable),No
63848,0,1,White,No
63848,1,1,Not a Fatality (not Applicable),No
63849,1,1,Not a Fatality (not Applicable),No
63849,1,2,Unknown,No
63850,0,1,Unknown,No
63850,1,1,Not a Fatality (not Applicable),No
63851,1,1,Unknown,No
63852,0,1,Unknown,No
63852,1,1,Not a Fatality (not Applicable),No
63852,1,2,Not a Fatality (not Applicable),No
63852,1,3,Not a Fatality (not Applicable),No
63852,1,4,Not a Fatality (not Applicable),No
63853,1,1,Unknown,No
63854,0,1,Unknown,No
63854,1,1,Not a Fatality (not Applicable),No
63854,1,2,Not a Fatality (not Applicable),No
63855,0,1,Unknown,No
63855,1,1,Not a Fatality (not Applicable),No
63856,0,1,Unknown,No
63856,1,1,Not a Fatality (not Applicable),No
63857,0,1,Unknown,No
63857,1,1,Not a Fatality (not Applicable),No
63857,1,2,Not a Fatality (not Applicable),No
63858,1,1,Other Race,No
63859,1,1,Unknown,No
63859,2,1,Unknown,No
63860,1,1,Unknown,No
63861,1,1,Not a Fatality (not Applicable),No
63861,2,1,Unknown,No
63861,2,2,Unknown,No
63862,0,1,Unknown,No
63862,0,2,Not a Fatality (not Applicable),No
63862,1,1,Not a Fatality (not Applicable),No
63862,2,1,Not a Fatality (not Applicable),No
63862,3,1,Not a Fatality (not Applicable),No
63862,3,2,Not a Fatality (not Applicable),No
63863,0,1,Unknown,No
63863,1,1,Not a Fatality (not Applicable),No
63863,2,1,Not a Fatality (not Applicable),No
63864,0,1,Unknown,No
63864,1,1,Not a Fatality (not Applicable),No
63864,1,2,Not a Fatality (not Applicable),No
63864,1,3,Not a Fatality (not Applicable),No
63865,0,1,Unknown,No
63865,1,1,Not a Fatality (not Applicable),No
63865,2,1,Not a Fatality (not Applicable),No
63865,2,2,Not a Fatality (not Applicable),No
63865,2,3,Not a Fatality (not Applicable),No
63865,2,4,Not a Fatality (not Applicable),No
63865,2,5,Not a Fatality (not Applicable),No
63866,1,1,Unknown,No
63866,2,1,Not a Fatality (not Applicable),No
63867,1,1,Not a Fatality (not Applicable),No
63867,1,2,Not a Fatality (not Applicable),No
63867,1,3,Unknown,No
63867,1,4,Not a Fatality (not Applicable),No
63867,2,1,Not a Fatality (not Applicable),No
63867,2,2,Not a Fatality (not Applicable),No
63867,2,3,Not a Fatality (not Applicable),No
63867,3,1,Not a Fatality (not Applicable),No
63867,3,2,Not a Fatality (not Applicable),No
63868,0,1,Unknown,No
63868,0,2,Unknown,No
63868,1,1,Not a Fatality (not Applicable),No
63868,2,1,Not a Fatality (not Applicable),No
63869,1,1,Not a Fatality (not Applicable),No
63869,2,1,Not a Fatality (not Applicable),No
63869,2,2,Unknown,No
63869,3,1,Not a Fatality (not Applicable),No
63870,0,1,Unknown,No
63870,1,1,Not a Fatality (not Applicable),No
63871,0,1,Unknown,No
63871,1,1,Not a Fatality (not Applicable),No
63872,0,1,Unknown,No
63872,1,1,Not a Fatality (not Applicable),No
63872,1,2,Not a Fatality (not Applicable),No
63873,1,1,Not a Fatality (not Applicable),No
63873,2,1,Unknown,No
63874,0,1,Unknown,No
63874,1,1,Not a Fatality (not Applicable),No
63875,1,1,Not a Fatality (not Applicable),No
63875,1,2,Not a Fatality (not Applicable),No
63875,2,1,Unknown,No
63876,1,1,Not a Fatality (not Applicable),No
63876,1,2,Not a Fatality (not Applicable),No
63876,1,3,Not a Fatality (not Applicable),No
63876,1,4,Not a Fatality (not Applicable),No
63876,1,5,Unknown,No
63877,1,1,Unknown,No
63877,2,1,Not a Fatality (not Applicable),No
63878,1,1,Unknown,No
63879,0,1,Unknown,No
63879,1,1,Not a Fatality (not Applicable),No
63880,0,1,Unknown,No
63880,1,1,Not a Fatality (not Applicable),No
63881,1,1,Unknown,No
63881,2,1,Not a Fatality (not Applicable),No
63881,2,2,Not a Fatality (not Applicable),No
63881,3,1,Not a Fatality (not Applicable),No
63882,1,1,Unknown,No
63882,2,1,Not a Fatality (not Applicable),No
63883,0,1,Unknown,No
63883,1,1,Not a Fatality (not Applicable),No
63883,1,2,Not a Fatality (not Applicable),No
63883,2,1,Not a Fatality (not Applicable),No
63883,2,2,Not a Fatality (not Applicable),No
63884,0,1,Unknown,No
63884,1,1,Not a Fatality (not Applicable),No
63884,1,2,Not a Fatality (not Applicable),No
63885,0,1,Unknown,No
63885,1,1,Not a Fatality (not Applicable),No
63886,1,1,Unknown,No
63886,1,2,Not a Fatality (not Applicable),No
63886,1,3,Not a Fatality (not Applicable),No
63887,1,1,Unknown,No
63887,1,2,Not a Fatality (not Applicable),No
63888,1,1,Not a Fatality (not Applicable),No
63888,2,1,Not a Fatality (not Applicable),No
63888,2,2,Unknown,No
63889,1,1,Unknown,No
63890,1,1,Unknown,No
63890,2,1,Not a Fatality (not Applicable),No
63890,2,2,Not a Fatality (not Applicable),No
63891,0,1,Unknown,No
63891,1,1,Not a Fatality (not Applicable),No
63892,1,1,Not a Fatality (not Applicable),No
63892,1,2,Unknown,No
63892,1,3,Not a Fatality (not Applicable),No
63892,2,1,Not a Fatality (not Applicable),No
63892,2,2,Not a Fatality (not Applicable),No
63893,0,1,Unknown,No
63893,1,1,Not a Fatality (not Applicable),No
63894,0,1,Unknown,No
63894,1,1,Not a Fatality (not Applicable),No
63895,1,1,Unknown,No
63895,1,2,Not a Fatality (not Applicable),No
63896,1,1,Unknown,No
63896,2,1,Not a Fatality (not Applicable),No
63896,2,2,Not a Fatality (not Applicable),No
63897,1,1,Unknown,No
63897,2,1,Not a Fatality (not Applicable),No
63898,0,1,Unknown,No
63898,0,2,Unknown,No
63973,1,1,Unknown,No
63898,0,3,Not a Fatality (not Applicable),No
63898,1,1,Not a Fatality (not Applicable),No
63899,1,1,Unknown,No
63899,1,2,Not a Fatality (not Applicable),No
63899,2,1,Not a Fatality (not Applicable),No
63900,0,1,Unknown,No
63900,1,1,Not a Fatality (not Applicable),No
63900,1,2,Not a Fatality (not Applicable),No
63900,1,3,Not a Fatality (not Applicable),No
63901,1,1,Unknown,No
63902,0,1,Unknown,No
63902,1,1,Not a Fatality (not Applicable),No
63903,1,1,Unknown,No
63903,1,2,Unknown,No
63903,1,3,Not a Fatality (not Applicable),No
63903,2,1,Not a Fatality (not Applicable),No
63903,2,2,Not a Fatality (not Applicable),No
63903,3,1,Not a Fatality (not Applicable),No
63904,1,1,Unknown,No
63904,1,2,Not a Fatality (not Applicable),No
63905,1,1,Unknown,No
63906,1,1,Not a Fatality (not Applicable),No
63906,1,2,Unknown,No
63906,2,1,Not a Fatality (not Applicable),No
63906,3,1,Not a Fatality (not Applicable),No
63907,1,1,Unknown,No
63907,2,1,Not a Fatality (not Applicable),No
63907,2,2,Not a Fatality (not Applicable),No
63907,2,3,Not a Fatality (not Applicable),No
63907,2,4,Not a Fatality (not Applicable),No
63908,1,1,Unknown,No
63908,2,1,Not a Fatality (not Applicable),No
63909,1,1,Not a Fatality (not Applicable),No
63909,2,1,Unknown,No
63910,0,1,Unknown,No
63910,1,1,Not a Fatality (not Applicable),No
63911,0,1,Unknown,No
63911,1,1,Not a Fatality (not Applicable),No
63912,0,1,Unknown,No
63912,1,1,Not a Fatality (not Applicable),No
63913,0,1,Unknown,No
63913,1,1,Not a Fatality (not Applicable),No
63914,1,1,Unknown,No
63914,2,1,Not a Fatality (not Applicable),No
63914,2,2,Not a Fatality (not Applicable),No
63914,3,1,Not a Fatality (not Applicable),No
63914,3,2,Not a Fatality (not Applicable),No
63914,3,3,Not a Fatality (not Applicable),No
63915,0,1,Unknown,No
63915,1,1,Not a Fatality (not Applicable),No
63915,1,2,Not a Fatality (not Applicable),No
63917,1,1,Unknown,No
63918,0,1,Unknown,No
63918,1,1,Not a Fatality (not Applicable),No
63919,0,1,Unknown,No
63919,1,1,Not a Fatality (not Applicable),No
63920,1,1,Unknown,No
63920,2,1,Not a Fatality (not Applicable),No
63921,0,1,Unknown,No
63921,1,1,Not a Fatality (not Applicable),No
63922,0,1,Unknown,No
63922,1,1,Not a Fatality (not Applicable),No
63923,1,1,Not a Fatality (not Applicable),No
63923,1,2,White,No
63924,1,1,Unknown,No
63925,1,1,Not a Fatality (not Applicable),No
63925,2,1,Unknown,No
63925,3,1,Not a Fatality (not Applicable),No
63925,4,1,Not a Fatality (not Applicable),No
63925,4,2,Not a Fatality (not Applicable),No
63926,1,1,Unknown,No
63926,2,1,Not a Fatality (not Applicable),No
63927,1,1,Unknown,No
63928,1,1,Not a Fatality (not Applicable),No
63928,2,1,Not a Fatality (not Applicable),No
63928,2,2,Unknown,No
63929,1,1,Not a Fatality (not Applicable),No
63929,1,2,Unknown,No
63930,1,1,Unknown,No
63931,0,1,Unknown,No
63931,1,1,Not a Fatality (not Applicable),No
63932,1,1,Not a Fatality (not Applicable),No
63973,1,2,Unknown,No
63932,1,2,Not a Fatality (not Applicable),No
63932,2,1,Unknown,No
63933,0,1,Unknown,No
63933,1,1,Not a Fatality (not Applicable),No
63934,1,1,Unknown,No
63935,0,1,Unknown,No
63935,1,1,Not a Fatality (not Applicable),No
63936,0,1,Unknown,No
63936,1,1,Not a Fatality (not Applicable),No
63937,0,1,Unknown,No
63937,1,1,Not a Fatality (not Applicable),No
63938,1,1,Not a Fatality (not Applicable),No
63938,1,2,Unknown,No
63939,0,1,Unknown,No
63939,1,1,Not a Fatality (not Applicable),No
63940,0,1,Unknown,No
63940,1,1,Not a Fatality (not Applicable),No
63941,0,1,Unknown,No
63941,1,1,Not a Fatality (not Applicable),No
63942,0,1,Unknown,No
63942,1,1,Not a Fatality (not Applicable),No
63943,0,1,Unknown,No
63943,0,2,Unknown,No
63943,1,1,Not a Fatality (not Applicable),No
63943,1,2,Not a Fatality (not Applicable),No
63944,0,1,Unknown,No
63944,1,1,Not a Fatality (not Applicable),No
63945,0,1,Unknown,No
63945,1,1,Not a Fatality (not Applicable),No
63946,0,1,Unknown,No
63946,1,1,Not a Fatality (not Applicable),No
63946,1,2,Not a Fatality (not Applicable),No
63947,0,1,Unknown,No
63947,1,1,Not a Fatality (not Applicable),No
63948,0,1,Unknown,No
63948,1,1,Not a Fatality (not Applicable),No
63949,0,1,Unknown,No
63949,1,1,Not a Fatality (not Applicable),No
63949,2,1,Not a Fatality (not Applicable),No
63950,0,1,Unknown,No
63950,1,1,Not a Fatality (not Applicable),No
63951,0,1,Unknown,No
63951,1,1,Not a Fatality (not Applicable),No
63952,1,1,Unknown,No
63952,1,2,Not a Fatality (not Applicable),No
63952,1,3,Not a Fatality (not Applicable),No
63953,0,1,Unknown,No
63953,1,1,Not a Fatality (not Applicable),No
63954,1,1,Unknown,No
63955,1,1,Unknown,No
63956,1,1,Unknown,No
63956,2,1,Not a Fatality (not Applicable),No
63956,2,2,Not a Fatality (not Applicable),No
63956,2,3,Not a Fatality (not Applicable),No
63957,0,1,Unknown,No
63957,1,1,Not a Fatality (not Applicable),No
63958,0,1,Unknown,No
63958,1,1,Not a Fatality (not Applicable),No
63959,1,1,Not a Fatality (not Applicable),No
63959,2,1,Unknown,No
63960,1,1,Unknown,No
63960,2,1,Not a Fatality (not Applicable),No
63961,1,1,Unknown,No
63962,1,1,Not a Fatality (not Applicable),No
63962,1,2,Not a Fatality (not Applicable),No
63962,2,1,Unknown,No
63963,0,1,Unknown,No
63963,1,1,Not a Fatality (not Applicable),No
63964,0,1,Unknown,No
63964,1,1,Not a Fatality (not Applicable),No
63965,0,1,Unknown,No
63965,1,1,Not a Fatality (not Applicable),No
63966,0,1,Unknown,No
63966,1,1,Not a Fatality (not Applicable),No
63967,1,1,Unknown,No
63967,2,1,Not a Fatality (not Applicable),No
63967,2,2,Not a Fatality (not Applicable),No
63968,1,1,Not a Fatality (not Applicable),No
63968,1,2,Unknown,No
63969,1,1,Unknown,No
63970,1,1,Unknown,No
63970,1,2,Unknown,No
63971,1,1,Unknown,No
63972,0,1,Unknown,No
63972,1,1,Not a Fatality (not Applicable),No
63973,2,1,Unknown,No
63973,3,1,Not a Fatality (not Applicable),No
63973,4,1,Not a Fatality (not Applicable),No
63973,5,1,Not a Fatality (not Applicable),No
63973,6,1,Not a Fatality (not Applicable),No
63973,7,1,Not a Fatality (not Applicable),No
63973,8,1,Not a Fatality (not Applicable),No
63974,1,1,Unknown,No
63974,2,1,Not a Fatality (not Applicable),No
63975,1,1,Unknown,No
63976,0,1,Unknown,No
63976,1,1,Not a Fatality (not Applicable),No
63976,2,1,Not a Fatality (not Applicable),No
63977,1,1,Not a Fatality (not Applicable),No
63977,1,2,Unknown,No
63978,1,1,Not a Fatality (not Applicable),No
63978,1,2,Unknown,No
63979,0,1,Unknown,No
63979,1,1,Not a Fatality (not Applicable),No
63980,0,1,Unknown,No
63980,1,1,Not a Fatality (not Applicable),No
63981,0,1,Unknown,No
63981,1,1,Not a Fatality (not Applicable),No
63982,0,1,Unknown,No
63982,1,1,Not a Fatality (not Applicable),No
63983,1,1,Unknown,No
63983,1,2,Unknown,No
63983,2,1,Not a Fatality (not Applicable),No
63984,0,1,Unknown,No
63984,1,1,Not a Fatality (not Applicable),No
63985,1,1,Not a Fatality (not Applicable),No
63985,2,1,Unknown,No
63985,3,1,Not a Fatality (not Applicable),No
63985,3,2,Not a Fatality (not Applicable),No
63986,0,1,Unknown,No
63986,1,1,Not a Fatality (not Applicable),No
63987,1,1,Unknown,No
63988,1,1,Not a Fatality (not Applicable),No
63988,2,1,Unknown,No
63989,1,1,Not a Fatality (not Applicable),No
63989,1,2,Unknown,No
63989,2,1,Not a Fatality (not Applicable),No
63989,2,2,Not a Fatality (not Applicable),No
63989,2,3,Not a Fatality (not Applicable),No
63990,0,1,Unknown,No
63990,1,1,Not a Fatality (not Applicable),No
63991,0,1,Unknown,No
63991,1,1,Not a Fatality (not Applicable),No
63992,0,1,Unknown,No
63992,1,1,Not a Fatality (not Applicable),No
63993,1,1,Unknown,No
63994,1,1,Not a Fatality (not Applicable),No
63994,2,1,Unknown,No
63994,2,2,Not a Fatality (not Applicable),No
63995,1,1,Unknown,No
63995,2,1,Not a Fatality (not Applicable),No
63996,0,1,Unknown,No
63996,0,2,Not a Fatality (not Applicable),No
63996,0,3,Not a Fatality (not Applicable),No
63996,1,1,Not a Fatality (not Applicable),No
63996,2,1,Not a Fatality (not Applicable),No
63997,1,1,Unknown,No
63997,2,1,Not a Fatality (not Applicable),No
63997,2,2,Not a Fatality (not Applicable),No
63997,2,3,Not a Fatality (not Applicable),No
63998,1,1,Not a Fatality (not Applicable),No
63998,1,2,Unknown,No
63998,2,1,Not a Fatality (not Applicable),No
63998,2,2,Not a Fatality (not Applicable),No
63999,1,1,Not a Fatality (not Applicable),No
63999,1,2,Unknown,No
63999,1,3,Not a Fatality (not Applicable),No
63999,1,4,Not a Fatality (not Applicable),No
63999,1,5,Not a Fatality (not Applicable),No
64001,1,1,Unknown,No
64001,2,1,Not a Fatality (not Applicable),No
64001,3,1,Not a Fatality (not Applicable),No
64002,1,1,Unknown,No
64002,1,2,Unknown,No
64003,1,1,Not a Fatality (not Applicable),No
64003,1,2,Unknown,No
64003,2,1,Not a Fatality (not Applicable),No
64004,1,1,Unknown,No
64005,0,1,Unknown,No
64005,1,1,Not a Fatality (not Applicable),No
64005,1,2,Not a Fatality (not Applicable),No
64006,1,1,Unknown,No
64007,1,1,Unknown,No
64008,1,1,Not a Fatality (not Applicable),No
64008,2,1,Unknown,No
64009,1,1,Unknown,No
64010,1,1,Not a Fatality (not Applicable),No
64010,2,1,Not a Fatality (not Applicable),No
64010,2,2,Unknown,No
64011,1,1,Unknown,No
64011,2,1,Not a Fatality (not Applicable),No
64011,2,2,Not a Fatality (not Applicable),No
64011,2,3,Not a Fatality (not Applicable),No
64012,1,1,Not a Fatality (not Applicable),No
64012,2,1,Unknown,No
64013,0,1,White,No
64013,1,1,Not a Fatality (not Applicable),No
64014,1,1,Unknown,No
64014,2,1,Not a Fatality (not Applicable),No
64014,2,2,Not a Fatality (not Applicable),No
64015,1,1,Unknown,No
64015,2,1,Not a Fatality (not Applicable),No
64015,2,2,Not a Fatality (not Applicable),No
64016,0,1,Unknown,No
64016,1,1,Not a Fatality (not Applicable),No
64017,0,1,Unknown,No
64017,1,1,Not a Fatality (not Applicable),No
64018,1,1,Not a Fatality (not Applicable),No
64018,1,2,Unknown,No
64018,1,3,Not a Fatality (not Applicable),No
64018,1,4,Not a Fatality (not Applicable),No
64018,1,5,Not a Fatality (not Applicable),No
64019,0,1,Unknown,No
64019,1,1,Not a Fatality (not Applicable),No
64020,0,1,Unknown,No
64020,1,1,Not a Fatality (not Applicable),No
64021,1,1,Unknown,No
64022,1,1,Unknown,No
64023,1,1,Unknown,No
64023,1,2,Not a Fatality (not Applicable),No
64024,1,1,Not a Fatality (not Applicable),No
64024,2,1,Unknown,No
64025,0,1,Unknown,No
64025,1,1,Not a Fatality (not Applicable),No
64026,0,1,Unknown,No
64026,1,1,Not a Fatality (not Applicable),No
64027,0,1,Unknown,No
64027,1,1,Not a Fatality (not Applicable),No
64028,0,1,Unknown,No
64028,1,1,Not a Fatality (not Applicable),No
64029,0,1,Unknown,No
64029,1,1,Not a Fatality (not Applicable),No
64030,0,1,Unknown,No
64030,1,1,Not a Fatality (not Applicable),No
64031,1,1,Not a Fatality (not Applicable),No
64031,2,1,Unknown,No
64032,0,1,Unknown,No
64032,1,1,Not a Fatality (not Applicable),No
64033,1,1,Not a Fatality (not Applicable),No
64033,1,2,Not a Fatality (not Applicable),No
64033,2,1,Not a Fatality (not Applicable),No
64033,2,2,Unknown,No
64033,2,3,Not a Fatality (not Applicable),No
64033,2,4,Not a Fatality (not Applicable),No
64034,0,1,Unknown,No
64034,1,1,Not a Fatality (not Applicable),No
64035,0,1,Unknown,No
64035,1,1,Not a Fatality (not Applicable),No
64036,1,1,Not a Fatality (not Applicable),No
64036,1,2,Unknown,No
64037,1,1,Not a Fatality (not Applicable),No
64037,2,1,Unknown,No
64039,1,1,Not a Fatality (not Applicable),No
64039,1,2,Not a Fatality (not Applicable),No
64039,1,3,Not a Fatality (not Applicable),No
64039,2,1,White,No
64039,2,2,White,No
64040,1,1,Unknown,No
64040,2,1,Not a Fatality (not Applicable),No
64041,1,1,Not a Fatality (not Applicable),No
64041,2,1,Unknown,No
64042,1,1,Unknown,No
64042,1,2,Not a Fatality (not Applicable),No
64043,0,1,Unknown,No
64043,1,1,Not a Fatality (not Applicable),No
64043,2,1,Not a Fatality (not Applicable),No
64043,3,1,Not a Fatality (not Applicable),No
64044,0,1,Unknown,No
64044,1,1,Not a Fatality (not Applicable),No
64045,1,1,Unknown,No
64046,1,1,Not a Fatality (not Applicable),No
64046,2,1,White,No
64047,1,1,Not a Fatality (not Applicable),No
64047,2,1,Unknown,No
64048,0,1,Unknown,No
64048,1,1,Not a Fatality (not Applicable),No
64048,2,1,Not a Fatality (not Applicable),No
64049,1,1,Not a Fatality (not Applicable),No
64049,1,2,White,No
64049,2,1,Not a Fatality (not Applicable),No
64049,2,2,Not a Fatality (not Applicable),No
64049,3,1,Not a Fatality (not Applicable),No
64049,4,1,Not a Fatality (not Applicable),No
64049,4,2,Not a Fatality (not Applicable),No
64050,0,1,Unknown,No
64050,1,1,Not a Fatality (not Applicable),No
64050,1,2,Not a Fatality (not Applicable),No
64051,1,1,Unknown,No
64051,2,1,Not a Fatality (not Applicable),No
64051,2,2,Not a Fatality (not Applicable),No
64051,3,1,Not a Fatality (not Applicable),No
64052,0,1,Unknown,No
64052,1,1,Not a Fatality (not Applicable),No
64053,1,1,Unknown,No
64053,3,1,Not a Fatality (not Applicable),No
64054,1,1,Unknown,No
64055,0,1,Unknown,No
64055,1,1,Not a Fatality (not Applicable),No
64055,1,2,Not a Fatality (not Applicable),No
64055,1,3,Not a Fatality (not Applicable),No
64055,1,4,Not a Fatality (not Applicable),No
64056,1,1,Unknown,No
64056,2,1,Not a Fatality (not Applicable),No
64056,2,2,Not a Fatality (not Applicable),No
64056,2,3,Not a Fatality (not Applicable),No
64056,2,4,Not a Fatality (not Applicable),No
64057,1,1,Unknown,No
64058,0,1,Not a Fatality (not Applicable),No
64058,0,2,Unknown,No
64058,1,1,Not a Fatality (not Applicable),No
64058,2,1,Not a Fatality (not Applicable),No
64059,1,1,Unknown,No
64060,0,1,Unknown,No
64060,1,1,Not a Fatality (not Applicable),No
64061,1,1,Unknown,No
64061,2,1,Not a Fatality (not Applicable),No
64062,1,1,Unknown,No
64063,0,1,Unknown,No
64063,1,1,Not a Fatality (not Applicable),No
64063,2,1,Not a Fatality (not Applicable),No
64063,2,2,Not a Fatality (not Applicable),No
64063,2,3,Not a Fatality (not Applicable),No
64063,2,4,Not a Fatality (not Applicable),No
64064,0,1,Unknown,No
64064,1,1,Not a Fatality (not Applicable),No
64065,0,1,Unknown,No
64065,1,1,Not a Fatality (not Applicable),No
64066,1,1,Unknown,No
64066,2,1,Not a Fatality (not Applicable),No
64067,0,1,Unknown,No
64067,1,1,Unknown,No
64068,0,1,Unknown,No
64068,1,1,Not a Fatality (not Applicable),No
64068,2,1,Not a Fatality (not Applicable),No
64069,0,1,White,No
64069,1,1,Not a Fatality (not Applicable),No
64070,0,1,Unknown,No
64070,1,1,Not a Fatality (not Applicable),No
64071,1,1,Not a Fatality (not Applicable),No
64071,1,2,Unknown,No
64071,2,1,Not a Fatality (not Applicable),No
64071,2,2,Not a Fatality (not Applicable),No
64071,2,3,Not a Fatality (not Applicable),No
