st_case,veh_no,drimpair
41219,2,None/Apparently Normal
41220,1,Not Reported
41220,2,None/Apparently Normal
50001,1,Reported as Unknown if Impaired
50002,1,"Under the Influence of Alcohol, Drugs or Medication"
50003,1,Asleep or Fatigued
50003,2,Reported as Unknown if Impaired
50004,1,Reported as Unknown if Impaired
50005,1,Reported as Unknown if Impaired
50005,2,Reported as Unknown if Impaired
50006,1,Reported as Unknown if Impaired
50007,1,Reported as Unknown if Impaired
50008,1,None/Apparently Normal
50009,1,Reported as Unknown if Impaired
50010,1,None/Apparently Normal
50010,2,None/Apparently Normal
50011,1,None/Apparently Normal
50011,2,None/Apparently Normal
50012,1,None/Apparently Normal
50013,1,Other Physical Impairment
50014,1,None/Apparently Normal
50015,1,None/Apparently Normal
50015,2,None/Apparently Normal
50016,1,Reported as Unknown if Impaired
50017,1,Reported as Unknown if Impaired
50018,1,None/Apparently Normal
50020,1,Reported as Unknown if Impaired
50021,1,Reported as Unknown if Impaired
50022,1,None/Apparently Normal
50022,2,None/Apparently Normal
50022,3,Reported as Unknown if Impaired
50023,1,None/Apparently Normal
130929,3,Not Reported
50024,1,None/Apparently Normal
50025,1,Reported as Unknown if Impaired
50025,2,None/Apparently Normal
50025,3,None/Apparently Normal
50026,1,None/Apparently Normal
50027,1,None/Apparently Normal
50027,2,None/Apparently Normal
50028,1,None/Apparently Normal
50028,2,None/Apparently Normal
50029,1,None/Apparently Normal
50030,1,Reported as Unknown if Impaired
50032,1,Reported as Unknown if Impaired
50032,2,None/Apparently Normal
50033,1,None/Apparently Normal
50034,1,"Under the Influence of Alcohol, Drugs or Medication"
50034,2,None/Apparently Normal
50035,1,Reported as Unknown if Impaired
50035,2,None/Apparently Normal
50036,1,Reported as Unknown if Impaired
50037,1,Reported as Unknown if Impaired
50038,1,"Under the Influence of Alcohol, Drugs or Medication"
50039,1,Reported as Unknown if Impaired
50039,2,Reported as Unknown if Impaired
50040,1,None/Apparently Normal
50041,1,"Under the Influence of Alcohol, Drugs or Medication"
50041,2,None/Apparently Normal
50042,1,None/Apparently Normal
50042,2,None/Apparently Normal
50043,1,None/Apparently Normal
50044,1,None/Apparently Normal
50044,2,Reported as Unknown if Impaired
50045,1,Reported as Unknown if Impaired
50046,1,Reported as Unknown if Impaired
50047,1,"Under the Influence of Alcohol, Drugs or Medication"
50047,2,"Under the Influence of Alcohol, Drugs or Medication"
50048,1,Reported as Unknown if Impaired
50049,1,None/Apparently Normal
50049,2,"Under the Influence of Alcohol, Drugs or Medication"
50050,1,Reported as Unknown if Impaired
50050,2,None/Apparently Normal
50051,1,None/Apparently Normal
50051,2,Reported as Unknown if Impaired
50051,3,None/Apparently Normal
50052,1,Reported as Unknown if Impaired
50052,2,Reported as Unknown if Impaired
50053,1,None/Apparently Normal
50054,1,Reported as Unknown if Impaired
50055,1,None/Apparently Normal
50056,1,"Ill, Blackout"
50057,1,Reported as Unknown if Impaired
50057,2,None/Apparently Normal
50058,1,None/Apparently Normal
50058,2,Reported as Unknown if Impaired
50059,1,None/Apparently Normal
50060,1,None/Apparently Normal
50060,2,None/Apparently Normal
50061,1,Reported as Unknown if Impaired
50062,1,Reported as Unknown if Impaired
50062,2,None/Apparently Normal
50063,1,None/Apparently Normal
50064,1,Reported as Unknown if Impaired
50065,1,Reported as Unknown if Impaired
50065,2,Reported as Unknown if Impaired
50066,1,None/Apparently Normal
50067,1,Reported as Unknown if Impaired
50068,1,Reported as Unknown if Impaired
50069,1,"Under the Influence of Alcohol, Drugs or Medication"
50070,1,None/Apparently Normal
50070,2,None/Apparently Normal
50071,1,Reported as Unknown if Impaired
50071,2,Reported as Unknown if Impaired
50072,1,"Emotional (depressed, angry, disturbed, etc.)"
50073,1,None/Apparently Normal
50073,2,Reported as Unknown if Impaired
50074,1,None/Apparently Normal
50075,1,Reported as Unknown if Impaired
50076,1,Reported as Unknown if Impaired
50076,2,None/Apparently Normal
50077,1,"Under the Influence of Alcohol, Drugs or Medication"
50078,1,Reported as Unknown if Impaired
50079,1,None/Apparently Normal
50079,2,None/Apparently Normal
50080,1,None/Apparently Normal
50080,2,Reported as Unknown if Impaired
50081,1,Reported as Unknown if Impaired
50082,1,None/Apparently Normal
50083,1,Reported as Unknown if Impaired
50084,1,Reported as Unknown if Impaired
50085,1,Reported as Unknown if Impaired
50085,2,None/Apparently Normal
50151,1,Reported as Unknown if Impaired
50086,1,"Under the Influence of Alcohol, Drugs or Medication"
50086,2,Reported as Unknown if Impaired
50087,1,Reported as Unknown if Impaired
50088,1,None/Apparently Normal
50088,2,None/Apparently Normal
50089,1,None/Apparently Normal
50089,2,Not Reported
50090,1,Physical Impairment - No Details
50091,1,Reported as Unknown if Impaired
50092,1,Reported as Unknown if Impaired
50093,1,None/Apparently Normal
50093,2,None/Apparently Normal
50094,1,None/Apparently Normal
50095,1,Reported as Unknown if Impaired
50096,1,None/Apparently Normal
50096,2,None/Apparently Normal
50097,1,Physical Impairment - No Details
50097,2,Physical Impairment - No Details
50098,1,None/Apparently Normal
50099,1,None/Apparently Normal
50100,1,Reported as Unknown if Impaired
50100,2,None/Apparently Normal
50101,1,None/Apparently Normal
50101,2,None/Apparently Normal
50103,1,None/Apparently Normal
50103,2,None/Apparently Normal
50104,1,None/Apparently Normal
50104,2,Reported as Unknown if Impaired
50105,1,None/Apparently Normal
50105,2,None/Apparently Normal
50106,1,None/Apparently Normal
50106,2,None/Apparently Normal
50107,1,Reported as Unknown if Impaired
50107,2,None/Apparently Normal
50108,1,Reported as Unknown if Impaired
50109,1,None/Apparently Normal
50110,1,None/Apparently Normal
50110,2,Reported as Unknown if Impaired
50111,1,Reported as Unknown if Impaired
50112,1,None/Apparently Normal
50112,2,None/Apparently Normal
50113,1,None/Apparently Normal
50114,1,Reported as Unknown if Impaired
50114,2,None/Apparently Normal
50115,1,Reported as Unknown if Impaired
50116,1,Reported as Unknown if Impaired
50117,1,Reported as Unknown if Impaired
50117,2,Reported as Unknown if Impaired
50119,1,None/Apparently Normal
50120,1,None/Apparently Normal
50120,2,None/Apparently Normal
50121,1,None/Apparently Normal
50122,1,Reported as Unknown if Impaired
50123,1,"Under the Influence of Alcohol, Drugs or Medication"
50124,1,None/Apparently Normal
50124,2,None/Apparently Normal
50125,1,Reported as Unknown if Impaired
50126,1,Reported as Unknown if Impaired
50126,2,None/Apparently Normal
50127,1,Reported as Unknown if Impaired
50128,1,Reported as Unknown if Impaired
50129,1,Reported as Unknown if Impaired
50130,1,None/Apparently Normal
50131,1,None/Apparently Normal
50132,1,Reported as Unknown if Impaired
50132,2,None/Apparently Normal
50133,1,None/Apparently Normal
50134,1,None/Apparently Normal
50134,2,Reported as Unknown if Impaired
50135,1,None/Apparently Normal
50136,1,None/Apparently Normal
50136,2,None/Apparently Normal
50137,1,Reported as Unknown if Impaired
50139,1,Reported as Unknown if Impaired
50139,2,Reported as Unknown if Impaired
50140,1,Reported as Unknown if Impaired
50140,2,None/Apparently Normal
50142,1,"Under the Influence of Alcohol, Drugs or Medication"
50143,1,"Under the Influence of Alcohol, Drugs or Medication"
50143,2,Reported as Unknown if Impaired
50143,3,None/Apparently Normal
50144,1,Reported as Unknown if Impaired
50145,1,Reported as Unknown if Impaired
50146,1,None/Apparently Normal
50146,2,None/Apparently Normal
50146,3,None/Apparently Normal
50147,1,Reported as Unknown if Impaired
50148,1,None/Apparently Normal
50149,1,Reported as Unknown if Impaired
50149,2,Reported as Unknown if Impaired
50150,1,None/Apparently Normal
50150,2,None/Apparently Normal
50152,1,Reported as Unknown if Impaired
50153,1,None/Apparently Normal
50153,2,None/Apparently Normal
50154,1,Not Reported
50155,1,None/Apparently Normal
50155,2,Reported as Unknown if Impaired
50156,1,None/Apparently Normal
50157,1,Reported as Unknown if Impaired
50158,1,Reported as Unknown if Impaired
50159,1,"Under the Influence of Alcohol, Drugs or Medication"
50159,2,None/Apparently Normal
50160,1,Reported as Unknown if Impaired
50161,1,Reported as Unknown if Impaired
50161,2,None/Apparently Normal
50162,1,Reported as Unknown if Impaired
50163,1,"Under the Influence of Alcohol, Drugs or Medication"
50163,2,Reported as Unknown if Impaired
50164,1,Reported as Unknown if Impaired
50164,2,None/Apparently Normal
50165,1,None/Apparently Normal
50166,1,Reported as Unknown if Impaired
50167,1,Reported as Unknown if Impaired
50167,2,None/Apparently Normal
50168,1,Reported as Unknown if Impaired
50168,2,None/Apparently Normal
50169,1,Reported as Unknown if Impaired
50170,1,None/Apparently Normal
50170,2,Reported as Unknown if Impaired
50171,1,None/Apparently Normal
50172,1,Reported as Unknown if Impaired
50173,1,None/Apparently Normal
50173,2,Reported as Unknown if Impaired
50174,1,None/Apparently Normal
50174,2,None/Apparently Normal
50176,1,None/Apparently Normal
50177,1,None/Apparently Normal
50177,2,Reported as Unknown if Impaired
50178,1,Physical Impairment - No Details
50178,2,None/Apparently Normal
50179,1,Reported as Unknown if Impaired
50180,1,None/Apparently Normal
50180,2,Reported as Unknown if Impaired
50181,1,Reported as Unknown if Impaired
50182,1,None/Apparently Normal
50183,1,Reported as Unknown if Impaired
50184,1,None/Apparently Normal
50184,2,None/Apparently Normal
50185,1,None/Apparently Normal
50186,1,None/Apparently Normal
50186,2,Reported as Unknown if Impaired
50187,1,Reported as Unknown if Impaired
50187,2,None/Apparently Normal
50188,1,Reported as Unknown if Impaired
50189,1,"Under the Influence of Alcohol, Drugs or Medication"
50189,2,None/Apparently Normal
50189,3,None/Apparently Normal
50189,4,None/Apparently Normal
50189,5,None/Apparently Normal
50189,6,None/Apparently Normal
50189,7,None/Apparently Normal
50190,1,Reported as Unknown if Impaired
50190,2,None/Apparently Normal
50191,1,None/Apparently Normal
50192,1,"Under the Influence of Alcohol, Drugs or Medication"
50192,2,None/Apparently Normal
50193,1,None/Apparently Normal
50194,1,None/Apparently Normal
50194,2,Other Physical Impairment
50195,1,None/Apparently Normal
50196,1,None/Apparently Normal
50196,2,Reported as Unknown if Impaired
50197,1,None/Apparently Normal
50197,2,None/Apparently Normal
50198,1,Reported as Unknown if Impaired
50199,1,Reported as Unknown if Impaired
50200,1,Reported as Unknown if Impaired
50201,1,"Under the Influence of Alcohol, Drugs or Medication"
50201,2,None/Apparently Normal
50202,1,"Emotional (depressed, angry, disturbed, etc.)"
50202,1,"Under the Influence of Alcohol, Drugs or Medication"
50203,1,None/Apparently Normal
50204,1,None/Apparently Normal
50204,2,None/Apparently Normal
50205,1,Reported as Unknown if Impaired
50205,2,None/Apparently Normal
50206,1,Reported as Unknown if Impaired
50207,1,None/Apparently Normal
50208,1,None/Apparently Normal
50209,1,None/Apparently Normal
50209,2,None/Apparently Normal
50210,1,Other Physical Impairment
50211,1,Reported as Unknown if Impaired
50212,1,Reported as Unknown if Impaired
50212,2,Asleep or Fatigued
50213,1,None/Apparently Normal
50213,2,None/Apparently Normal
50213,3,None/Apparently Normal
50213,4,None/Apparently Normal
50213,5,None/Apparently Normal
50213,6,None/Apparently Normal
50213,7,None/Apparently Normal
50213,8,None/Apparently Normal
50213,9,None/Apparently Normal
50213,10,None/Apparently Normal
50213,11,None/Apparently Normal
50213,12,Reported as Unknown if Impaired
50213,13,None/Apparently Normal
50213,14,None/Apparently Normal
50213,15,None/Apparently Normal
50213,16,None/Apparently Normal
50213,17,None/Apparently Normal
50213,18,None/Apparently Normal
50213,19,None/Apparently Normal
50213,20,None/Apparently Normal
50214,1,Reported as Unknown if Impaired
50215,1,None/Apparently Normal
50215,2,None/Apparently Normal
50215,3,None/Apparently Normal
50215,4,None/Apparently Normal
50215,5,None/Apparently Normal
50216,1,Reported as Unknown if Impaired
50217,1,None/Apparently Normal
50218,1,Reported as Unknown if Impaired
50219,1,"Under the Influence of Alcohol, Drugs or Medication"
50220,1,"Under the Influence of Alcohol, Drugs or Medication"
50220,2,None/Apparently Normal
50221,1,Reported as Unknown if Impaired
50223,1,Reported as Unknown if Impaired
50224,1,None/Apparently Normal
50224,2,Reported as Unknown if Impaired
50225,1,Reported as Unknown if Impaired
50226,1,Reported as Unknown if Impaired
50227,1,None/Apparently Normal
50227,2,Reported as Unknown if Impaired
50228,1,Reported as Unknown if Impaired
50229,1,Reported as Unknown if Impaired
50230,1,None/Apparently Normal
50230,2,Reported as Unknown if Impaired
50231,1,None/Apparently Normal
50231,2,None/Apparently Normal
50232,1,Reported as Unknown if Impaired
50233,1,Asleep or Fatigued
50234,1,None/Apparently Normal
50235,1,None/Apparently Normal
50235,2,None/Apparently Normal
50236,1,"Emotional (depressed, angry, disturbed, etc.)"
50237,1,Reported as Unknown if Impaired
50238,1,Reported as Unknown if Impaired
50239,1,"Under the Influence of Alcohol, Drugs or Medication"
50240,1,Reported as Unknown if Impaired
50240,2,None/Apparently Normal
50241,1,None/Apparently Normal
50242,1,"Under the Influence of Alcohol, Drugs or Medication"
50243,1,None/Apparently Normal
50243,2,None/Apparently Normal
50243,3,None/Apparently Normal
50244,1,Reported as Unknown if Impaired
50245,1,Reported as Unknown if Impaired
50245,2,None/Apparently Normal
50246,1,Reported as Unknown if Impaired
50246,2,None/Apparently Normal
50247,1,None/Apparently Normal
50248,1,Reported as Unknown if Impaired
50248,2,None/Apparently Normal
50249,1,None/Apparently Normal
50249,2,Reported as Unknown if Impaired
50250,1,None/Apparently Normal
50251,1,Reported as Unknown if Impaired
50251,2,None/Apparently Normal
50252,1,None/Apparently Normal
50252,2,Reported as Unknown if Impaired
50253,1,None/Apparently Normal
50254,1,Reported as Unknown if Impaired
50255,1,Reported as Unknown if Impaired
50255,2,None/Apparently Normal
50256,1,Reported as Unknown if Impaired
50256,2,None/Apparently Normal
50257,1,Reported as Unknown if Impaired
50257,2,None/Apparently Normal
50257,3,None/Apparently Normal
50258,1,None/Apparently Normal
50258,2,None/Apparently Normal
50258,3,None/Apparently Normal
50259,1,"Under the Influence of Alcohol, Drugs or Medication"
130995,2,Not Reported
50260,1,Reported as Unknown if Impaired
50260,2,None/Apparently Normal
50261,1,Reported as Unknown if Impaired
50261,2,None/Apparently Normal
50262,1,None/Apparently Normal
50263,1,None/Apparently Normal
50264,1,Reported as Unknown if Impaired
50265,1,Reported as Unknown if Impaired
50265,2,None/Apparently Normal
50266,1,None/Apparently Normal
50267,1,Reported as Unknown if Impaired
50268,1,Reported as Unknown if Impaired
50269,1,None/Apparently Normal
50269,2,None/Apparently Normal
50270,1,Reported as Unknown if Impaired
50271,1,Reported as Unknown if Impaired
50272,1,Reported as Unknown if Impaired
50273,1,Reported as Unknown if Impaired
50273,2,Reported as Unknown if Impaired
50274,1,Reported as Unknown if Impaired
50275,1,None/Apparently Normal
50276,1,None/Apparently Normal
50276,2,None/Apparently Normal
50277,1,Reported as Unknown if Impaired
50278,1,Reported as Unknown if Impaired
50279,1,None/Apparently Normal
50280,1,None/Apparently Normal
50281,1,None/Apparently Normal
50282,1,None/Apparently Normal
50282,2,Reported as Unknown if Impaired
50283,1,Reported as Unknown if Impaired
50284,1,Reported as Unknown if Impaired
50285,1,None/Apparently Normal
50286,1,"Under the Influence of Alcohol, Drugs or Medication"
50286,2,None/Apparently Normal
50286,3,None/Apparently Normal
50287,1,"Under the Influence of Alcohol, Drugs or Medication"
50288,1,Reported as Unknown if Impaired
50289,1,Reported as Unknown if Impaired
50289,2,None/Apparently Normal
50290,1,Reported as Unknown if Impaired
50291,1,None/Apparently Normal
50292,1,"Under the Influence of Alcohol, Drugs or Medication"
50293,1,Reported as Unknown if Impaired
50294,1,"Under the Influence of Alcohol, Drugs or Medication"
50295,1,Reported as Unknown if Impaired
50296,1,Reported as Unknown if Impaired
50296,2,None/Apparently Normal
50297,1,"Under the Influence of Alcohol, Drugs or Medication"
50297,2,None/Apparently Normal
50298,1,None/Apparently Normal
50299,1,Reported as Unknown if Impaired
50300,1,Reported as Unknown if Impaired
50300,2,None/Apparently Normal
50301,1,None/Apparently Normal
50302,1,None/Apparently Normal
50303,1,None/Apparently Normal
50304,1,None/Apparently Normal
50304,2,None/Apparently Normal
50304,3,None/Apparently Normal
50305,1,Reported as Unknown if Impaired
50305,2,None/Apparently Normal
50306,1,"Under the Influence of Alcohol, Drugs or Medication"
50307,1,None/Apparently Normal
50307,2,None/Apparently Normal
50308,1,Reported as Unknown if Impaired
50308,2,None/Apparently Normal
50309,1,Reported as Unknown if Impaired
50310,1,None/Apparently Normal
50310,2,None/Apparently Normal
50311,1,Reported as Unknown if Impaired
50311,2,None/Apparently Normal
50312,1,Reported as Unknown if Impaired
50313,1,None/Apparently Normal
50313,2,None/Apparently Normal
50314,1,Reported as Unknown if Impaired
50315,1,None/Apparently Normal
50315,2,None/Apparently Normal
50316,1,None/Apparently Normal
50316,2,None/Apparently Normal
50316,3,None/Apparently Normal
50316,4,None/Apparently Normal
50317,1,Reported as Unknown if Impaired
50317,2,Reported as Unknown if Impaired
50318,1,Reported as Unknown if Impaired
50319,1,"Emotional (depressed, angry, disturbed, etc.)"
50319,2,Not Reported
50320,1,None/Apparently Normal
50321,1,Reported as Unknown if Impaired
50321,2,None/Apparently Normal
50322,1,Other Physical Impairment
131145,2,Not Reported
50323,1,Reported as Unknown if Impaired
50324,1,None/Apparently Normal
50324,2,Reported as Unknown if Impaired
50325,1,Reported as Unknown if Impaired
50326,1,None/Apparently Normal
50327,1,Reported as Unknown if Impaired
50328,1,None/Apparently Normal
50328,2,None/Apparently Normal
50329,1,None/Apparently Normal
50329,2,None/Apparently Normal
50330,1,Reported as Unknown if Impaired
50331,1,Reported as Unknown if Impaired
50331,2,None/Apparently Normal
50332,1,None/Apparently Normal
50333,1,Reported as Unknown if Impaired
50334,1,None/Apparently Normal
50335,1,None/Apparently Normal
50336,1,None/Apparently Normal
50336,2,None/Apparently Normal
50337,1,"Under the Influence of Alcohol, Drugs or Medication"
50338,1,Reported as Unknown if Impaired
50338,2,None/Apparently Normal
50339,1,Reported as Unknown if Impaired
50340,1,None/Apparently Normal
50341,1,Reported as Unknown if Impaired
50341,2,None/Apparently Normal
50342,1,Reported as Unknown if Impaired
50343,1,Reported as Unknown if Impaired
50344,1,Reported as Unknown if Impaired
50345,1,None/Apparently Normal
50345,2,None/Apparently Normal
50346,1,None/Apparently Normal
50346,2,None/Apparently Normal
50347,1,None/Apparently Normal
50348,1,Reported as Unknown if Impaired
50349,1,None/Apparently Normal
50349,2,None/Apparently Normal
50350,1,Reported as Unknown if Impaired
50351,1,"Under the Influence of Alcohol, Drugs or Medication"
50352,1,None/Apparently Normal
50352,2,None/Apparently Normal
50352,3,None/Apparently Normal
50352,4,None/Apparently Normal
50352,5,None/Apparently Normal
50352,6,Reported as Unknown if Impaired
50352,7,None/Apparently Normal
50352,8,Reported as Unknown if Impaired
50352,9,None/Apparently Normal
50352,10,None/Apparently Normal
50352,11,None/Apparently Normal
50352,12,None/Apparently Normal
50352,13,None/Apparently Normal
50353,1,"Under the Influence of Alcohol, Drugs or Medication"
50354,1,Physical Impairment - No Details
50355,1,None/Apparently Normal
50355,2,Reported as Unknown if Impaired
50356,1,None/Apparently Normal
50357,1,Reported as Unknown if Impaired
50358,1,Reported as Unknown if Impaired
50359,1,Reported as Unknown if Impaired
50359,2,None/Apparently Normal
50360,1,None/Apparently Normal
50361,1,None/Apparently Normal
50361,2,None/Apparently Normal
50361,3,None/Apparently Normal
50361,4,None/Apparently Normal
50361,5,Reported as Unknown if Impaired
50362,1,None/Apparently Normal
50363,1,Reported as Unknown if Impaired
50363,2,Not Reported
50364,1,Reported as Unknown if Impaired
50365,1,Reported as Unknown if Impaired
50366,1,None/Apparently Normal
50366,2,None/Apparently Normal
50366,3,None/Apparently Normal
50367,1,Reported as Unknown if Impaired
50368,1,None/Apparently Normal
50368,2,None/Apparently Normal
50369,1,None/Apparently Normal
50369,2,None/Apparently Normal
50370,1,Reported as Unknown if Impaired
50371,1,None/Apparently Normal
50372,1,None/Apparently Normal
50372,2,Reported as Unknown if Impaired
50373,1,Reported as Unknown if Impaired
50373,2,None/Apparently Normal
50373,3,None/Apparently Normal
50373,4,None/Apparently Normal
50374,1,Reported as Unknown if Impaired
50375,1,Reported as Unknown if Impaired
50376,1,Reported as Unknown if Impaired
50377,1,"Emotional (depressed, angry, disturbed, etc.)"
131146,1,Not Reported
50377,1,"Under the Influence of Alcohol, Drugs or Medication"
50378,1,None/Apparently Normal
50378,2,None/Apparently Normal
50379,1,Reported as Unknown if Impaired
50379,2,Reported as Unknown if Impaired
50380,1,Reported as Unknown if Impaired
50381,1,Reported as Unknown if Impaired
50381,2,None/Apparently Normal
50382,1,None/Apparently Normal
50383,1,None/Apparently Normal
50383,2,Reported as Unknown if Impaired
50384,1,"Under the Influence of Alcohol, Drugs or Medication"
50385,1,Asleep or Fatigued
50385,2,None/Apparently Normal
50386,1,None/Apparently Normal
50386,2,None/Apparently Normal
50387,1,Reported as Unknown if Impaired
50388,1,None/Apparently Normal
50389,1,Reported as Unknown if Impaired
50390,1,None/Apparently Normal
50390,2,None/Apparently Normal
50391,1,Reported as Unknown if Impaired
50392,1,None/Apparently Normal
50393,1,"Under the Influence of Alcohol, Drugs or Medication"
50394,1,Reported as Unknown if Impaired
50394,2,"Emotional (depressed, angry, disturbed, etc.)"
50394,2,"Under the Influence of Alcohol, Drugs or Medication"
50395,1,Reported as Unknown if Impaired
50395,2,Reported as Unknown if Impaired
50396,1,Reported as Unknown if Impaired
50396,2,None/Apparently Normal
50396,3,None/Apparently Normal
50397,1,Reported as Unknown if Impaired
50398,1,None/Apparently Normal
50398,2,Reported as Unknown if Impaired
50399,1,Reported as Unknown if Impaired
50400,1,None/Apparently Normal
50400,2,None/Apparently Normal
50401,1,Reported as Unknown if Impaired
50402,1,None/Apparently Normal
50402,2,None/Apparently Normal
50403,1,Reported as Unknown if Impaired
50405,1,Reported as Unknown if Impaired
50406,1,None/Apparently Normal
50407,1,Reported as Unknown if Impaired
50407,2,None/Apparently Normal
50408,1,"Emotional (depressed, angry, disturbed, etc.)"
50409,1,Reported as Unknown if Impaired
50409,2,None/Apparently Normal
50410,1,None/Apparently Normal
50410,2,None/Apparently Normal
50411,1,None/Apparently Normal
50411,2,None/Apparently Normal
50412,1,None/Apparently Normal
50413,1,Reported as Unknown if Impaired
50414,1,Reported as Unknown if Impaired
50414,2,None/Apparently Normal
50415,1,None/Apparently Normal
50415,2,None/Apparently Normal
50416,1,"Under the Influence of Alcohol, Drugs or Medication"
50416,2,None/Apparently Normal
50417,1,Reported as Unknown if Impaired
50417,2,No Driver Present/Unknown if Driver Present
50417,3,No Driver Present/Unknown if Driver Present
50418,1,None/Apparently Normal
50418,2,Reported as Unknown if Impaired
50418,3,None/Apparently Normal
50418,4,None/Apparently Normal
50419,1,"Under the Influence of Alcohol, Drugs or Medication"
50419,2,Reported as Unknown if Impaired
50419,3,None/Apparently Normal
50420,1,Reported as Unknown if Impaired
50421,1,Reported as Unknown if Impaired
50421,2,None/Apparently Normal
50422,1,None/Apparently Normal
50422,2,None/Apparently Normal
50423,1,None/Apparently Normal
50423,2,None/Apparently Normal
50424,1,Reported as Unknown if Impaired
50425,1,Reported as Unknown if Impaired
50425,2,None/Apparently Normal
50426,1,None/Apparently Normal
50427,1,None/Apparently Normal
50428,1,Reported as Unknown if Impaired
50428,2,Reported as Unknown if Impaired
50429,1,None/Apparently Normal
50429,2,None/Apparently Normal
50430,1,None/Apparently Normal
50431,1,Reported as Unknown if Impaired
50431,2,None/Apparently Normal
50432,1,Reported as Unknown if Impaired
50433,1,Not Reported
50434,1,"Under the Influence of Alcohol, Drugs or Medication"
50434,2,None/Apparently Normal
50435,1,Reported as Unknown if Impaired
50436,1,Reported as Unknown if Impaired
50437,1,None/Apparently Normal
50437,2,None/Apparently Normal
50438,1,None/Apparently Normal
50439,1,None/Apparently Normal
50439,2,Reported as Unknown if Impaired
50440,1,Reported as Unknown if Impaired
50440,2,Reported as Unknown if Impaired
50441,1,None/Apparently Normal
50442,1,None/Apparently Normal
50443,1,None/Apparently Normal
50443,2,None/Apparently Normal
50444,1,Reported as Unknown if Impaired
50444,2,None/Apparently Normal
50445,1,None/Apparently Normal
50446,1,Reported as Unknown if Impaired
50447,1,Reported as Unknown if Impaired
50448,1,Reported as Unknown if Impaired
50449,1,None/Apparently Normal
50449,2,Reported as Unknown if Impaired
50450,1,Reported as Unknown if Impaired
50450,2,None/Apparently Normal
50451,1,Reported as Unknown if Impaired
50452,1,None/Apparently Normal
50452,2,None/Apparently Normal
50453,1,Reported as Unknown if Impaired
50453,2,None/Apparently Normal
50454,1,Other Physical Impairment
50454,2,None/Apparently Normal
50454,3,None/Apparently Normal
50455,1,None/Apparently Normal
50455,2,None/Apparently Normal
50456,1,Reported as Unknown if Impaired
50456,2,None/Apparently Normal
50457,1,None/Apparently Normal
50458,1,None/Apparently Normal
50458,2,None/Apparently Normal
50459,1,None/Apparently Normal
50459,2,None/Apparently Normal
50460,1,Reported as Unknown if Impaired
50461,1,Reported as Unknown if Impaired
50462,1,Reported as Unknown if Impaired
50463,1,Reported as Unknown if Impaired
50463,2,Reported as Unknown if Impaired
50464,1,"Under the Influence of Alcohol, Drugs or Medication"
50465,1,Reported as Unknown if Impaired
50466,2,Physical Impairment - No Details
50467,1,None/Apparently Normal
50467,2,None/Apparently Normal
50468,1,Reported as Unknown if Impaired
50469,1,Other Physical Impairment
50469,2,None/Apparently Normal
50469,3,None/Apparently Normal
50470,1,Reported as Unknown if Impaired
50470,2,Reported as Unknown if Impaired
50471,1,None/Apparently Normal
50472,1,Reported as Unknown if Impaired
50472,2,None/Apparently Normal
50473,1,Reported as Unknown if Impaired
50474,1,None/Apparently Normal
50475,1,Reported as Unknown if Impaired
50476,1,Reported as Unknown if Impaired
50476,2,Reported as Unknown if Impaired
50477,1,Reported as Unknown if Impaired
50477,2,None/Apparently Normal
50479,1,Reported as Unknown if Impaired
50480,1,Reported as Unknown if Impaired
50481,1,None/Apparently Normal
50481,2,"Under the Influence of Alcohol, Drugs or Medication"
50482,1,None/Apparently Normal
50483,1,"Under the Influence of Alcohol, Drugs or Medication"
50484,1,Reported as Unknown if Impaired
50484,2,None/Apparently Normal
50485,1,Reported as Unknown if Impaired
50486,1,Reported as Unknown if Impaired
50487,1,Reported as Unknown if Impaired
50487,2,Reported as Unknown if Impaired
50488,1,"Under the Influence of Alcohol, Drugs or Medication"
50488,2,None/Apparently Normal
50489,1,Reported as Unknown if Impaired
50490,1,Reported as Unknown if Impaired
50491,1,Reported as Unknown if Impaired
50491,2,None/Apparently Normal
50491,3,Reported as Unknown if Impaired
50491,4,None/Apparently Normal
50492,1,None/Apparently Normal
50493,1,Reported as Unknown if Impaired
131298,1,Not Reported
50493,2,"Under the Influence of Alcohol, Drugs or Medication"
50494,1,None/Apparently Normal
50494,2,Reported as Unknown if Impaired
50495,1,"Under the Influence of Alcohol, Drugs or Medication"
50496,1,None/Apparently Normal
50496,2,None/Apparently Normal
50497,1,None/Apparently Normal
50497,2,None/Apparently Normal
50497,3,Reported as Unknown if Impaired
50498,1,Reported as Unknown if Impaired
50499,1,Reported as Unknown if Impaired
50500,1,None/Apparently Normal
50500,2,None/Apparently Normal
50501,1,Reported as Unknown if Impaired
50502,1,Reported as Unknown if Impaired
50503,1,Reported as Unknown if Impaired
50504,1,"Under the Influence of Alcohol, Drugs or Medication"
50504,2,Reported as Unknown if Impaired
50505,1,None/Apparently Normal
50505,2,Reported as Unknown if Impaired
50506,1,Reported as Unknown if Impaired
50507,1,None/Apparently Normal
50507,2,None/Apparently Normal
50508,1,Reported as Unknown if Impaired
50508,2,Reported as Unknown if Impaired
50509,1,None/Apparently Normal
50510,1,None/Apparently Normal
50510,2,None/Apparently Normal
50511,1,Physical Impairment - No Details
50512,1,Reported as Unknown if Impaired
50513,1,Reported as Unknown if Impaired
50513,2,Reported as Unknown if Impaired
