st_case,veh_no,vision
62246,2,No Obstruction Noted
62247,1,No Obstruction Noted
62247,2,No Obstruction Noted
62248,1,"Reflected Glare, Bright Sunlight, Headlights"
62249,1,No Obstruction Noted
62250,1,No Obstruction Noted
62250,2,No Obstruction Noted
62251,1,No Obstruction Noted
62251,2,No Obstruction Noted
62252,1,No Obstruction Noted
62252,2,No Obstruction Noted
62252,3,No Obstruction Noted
62253,1,No Obstruction Noted
62253,2,No Obstruction Noted
62254,1,No Obstruction Noted
62255,1,No Obstruction Noted
62256,1,No Obstruction Noted
62256,2,No Obstruction Noted
62257,1,No Obstruction Noted
62257,2,No Obstruction Noted
62258,1,No Obstruction Noted
62259,1,No Obstruction Noted
62260,1,No Obstruction Noted
62261,1,No Obstruction Noted
62261,2,No Obstruction Noted
62262,1,No Obstruction Noted
62263,1,No Obstruction Noted
62264,1,No Obstruction Noted
62265,1,No Obstruction Noted
62266,1,No Obstruction Noted
62267,1,No Obstruction Noted
62267,2,No Obstruction Noted
62268,1,No Obstruction Noted
62269,1,No Obstruction Noted
62269,2,No Obstruction Noted
62270,1,No Obstruction Noted
62271,1,No Obstruction Noted
62272,1,No Obstruction Noted
62273,1,No Obstruction Noted
62274,1,No Obstruction Noted
62275,1,No Obstruction Noted
62276,1,No Obstruction Noted
62276,2,No Obstruction Noted
62277,1,No Obstruction Noted
62277,2,No Driver Present/Unknown if Driver present
62277,3,No Driver Present/Unknown if Driver present
62278,1,No Obstruction Noted
62279,1,No Obstruction Noted
62280,1,No Obstruction Noted
62280,2,No Obstruction Noted
62280,3,No Obstruction Noted
62280,4,No Obstruction Noted
62281,1,No Obstruction Noted
62281,2,No Obstruction Noted
62282,1,No Obstruction Noted
62283,1,No Obstruction Noted
62283,2,No Driver Present/Unknown if Driver present
62284,1,No Obstruction Noted
62284,2,No Obstruction Noted
62285,1,No Obstruction Noted
62286,1,No Obstruction Noted
62286,2,No Obstruction Noted
62287,1,No Obstruction Noted
62288,1,No Obstruction Noted
62288,2,No Obstruction Noted
62289,1,No Obstruction Noted
62290,1,No Obstruction Noted
62291,1,No Obstruction Noted
62292,1,No Obstruction Noted
62293,1,No Obstruction Noted
62293,2,No Obstruction Noted
62293,3,No Obstruction Noted
62294,1,No Obstruction Noted
62294,2,No Obstruction Noted
62295,1,No Obstruction Noted
62296,1,No Obstruction Noted
62296,2,No Obstruction Noted
62297,1,No Obstruction Noted
62298,1,No Obstruction Noted
62298,2,No Obstruction Noted
62298,3,No Obstruction Noted
62299,1,No Obstruction Noted
62299,2,No Obstruction Noted
62300,1,No Obstruction Noted
62301,1,No Obstruction Noted
62302,1,No Obstruction Noted
62303,1,No Obstruction Noted
62304,1,No Obstruction Noted
62304,2,No Obstruction Noted
62305,1,No Obstruction Noted
62306,1,No Obstruction Noted
62307,1,No Obstruction Noted
62308,1,No Obstruction Noted
62309,1,No Obstruction Noted
62310,1,No Obstruction Noted
62310,2,No Obstruction Noted
62311,1,No Obstruction Noted
62312,1,No Obstruction Noted
62313,1,No Obstruction Noted
62314,1,No Obstruction Noted
62314,2,No Obstruction Noted
62315,1,No Obstruction Noted
62316,1,No Obstruction Noted
62316,2,No Obstruction Noted
62316,3,No Obstruction Noted
62317,1,No Obstruction Noted
62318,1,No Obstruction Noted
62319,1,No Obstruction Noted
62320,1,No Obstruction Noted
62321,1,No Obstruction Noted
62321,2,No Obstruction Noted
62322,1,No Obstruction Noted
62322,2,No Obstruction Noted
62322,3,No Obstruction Noted
62323,1,No Obstruction Noted
62323,2,No Obstruction Noted
62324,1,No Obstruction Noted
62324,2,No Obstruction Noted
62324,3,No Obstruction Noted
62325,1,No Obstruction Noted
62325,2,No Obstruction Noted
62325,3,No Obstruction Noted
62325,4,No Obstruction Noted
62326,1,No Obstruction Noted
62326,2,No Obstruction Noted
62327,1,No Obstruction Noted
62328,1,No Obstruction Noted
62329,1,No Obstruction Noted
62330,1,No Obstruction Noted
62331,1,No Obstruction Noted
62332,1,No Obstruction Noted
62332,2,No Obstruction Noted
62333,1,No Obstruction Noted
62334,1,No Obstruction Noted
62335,1,No Obstruction Noted
62335,2,No Obstruction Noted
62336,1,No Obstruction Noted
62337,1,No Obstruction Noted
62338,1,No Obstruction Noted
62339,1,No Obstruction Noted
62339,2,No Obstruction Noted
62340,1,No Obstruction Noted
62341,1,No Obstruction Noted
62342,1,No Obstruction Noted
62343,1,No Obstruction Noted
62344,1,No Obstruction Noted
62345,1,No Obstruction Noted
62345,2,No Obstruction Noted
62346,1,No Obstruction Noted
62347,1,No Obstruction Noted
62348,1,No Obstruction Noted
62349,1,No Obstruction Noted
62350,1,No Obstruction Noted
62350,2,No Obstruction Noted
62350,3,No Obstruction Noted
62351,1,No Obstruction Noted
62352,1,No Obstruction Noted
62353,1,Other Visual Obstruction
62354,1,No Obstruction Noted
62355,1,No Obstruction Noted
62355,2,No Driver Present/Unknown if Driver present
62355,3,No Obstruction Noted
62356,1,No Obstruction Noted
62356,2,No Obstruction Noted
62357,1,No Obstruction Noted
62357,2,No Obstruction Noted
62358,1,No Obstruction Noted
62359,1,No Obstruction Noted
62360,1,No Obstruction Noted
62361,1,No Obstruction Noted
62361,2,No Obstruction Noted
62361,3,No Obstruction Noted
62361,4,No Obstruction Noted
62362,1,No Obstruction Noted
62363,1,No Obstruction Noted
62364,1,No Obstruction Noted
62365,1,No Obstruction Noted
62365,2,No Obstruction Noted
62366,1,No Obstruction Noted
62367,1,No Obstruction Noted
62369,1,No Obstruction Noted
62369,2,No Obstruction Noted
62369,3,No Obstruction Noted
62369,4,No Obstruction Noted
62369,5,No Obstruction Noted
62370,1,No Obstruction Noted
62371,1,No Obstruction Noted
62372,1,No Obstruction Noted
62373,1,Obstructing Angles on Vehicle
62373,2,No Obstruction Noted
62374,1,No Obstruction Noted
62374,2,No Obstruction Noted
62375,1,No Obstruction Noted
62375,2,No Obstruction Noted
62376,1,No Obstruction Noted
62376,2,No Obstruction Noted
62377,1,No Obstruction Noted
62378,1,No Obstruction Noted
62379,1,No Obstruction Noted
62379,2,No Obstruction Noted
62379,3,No Obstruction Noted
62380,1,No Obstruction Noted
62381,1,No Obstruction Noted
62382,1,No Obstruction Noted
62384,1,No Obstruction Noted
62384,2,No Obstruction Noted
62385,1,No Obstruction Noted
62386,1,No Obstruction Noted
62387,1,No Obstruction Noted
62387,2,No Obstruction Noted
62387,3,No Obstruction Noted
62388,1,No Obstruction Noted
62388,2,No Obstruction Noted
62389,1,No Obstruction Noted
62389,2,No Obstruction Noted
62390,1,No Obstruction Noted
62391,1,No Obstruction Noted
62392,1,No Obstruction Noted
62393,1,No Obstruction Noted
62394,1,No Obstruction Noted
62395,1,No Obstruction Noted
62396,1,No Obstruction Noted
62397,1,No Obstruction Noted
62397,2,No Driver Present/Unknown if Driver present
62398,1,No Obstruction Noted
62399,1,No Obstruction Noted
62399,2,No Obstruction Noted
62399,3,No Obstruction Noted
62400,1,No Obstruction Noted
62401,1,No Obstruction Noted
62401,2,No Obstruction Noted
62401,3,No Obstruction Noted
62402,1,No Obstruction Noted
62402,2,No Obstruction Noted
62403,1,No Obstruction Noted
62404,1,No Obstruction Noted
62405,1,No Obstruction Noted
62406,1,No Obstruction Noted
62407,1,No Obstruction Noted
62407,2,No Obstruction Noted
62408,1,No Obstruction Noted
62409,1,No Obstruction Noted
62410,1,"Rain, Snow, Fog, Smoke, Sand, Dust"
62410,2,No Obstruction Noted
62411,1,No Obstruction Noted
62412,1,No Obstruction Noted
62413,1,No Obstruction Noted
62414,1,No Obstruction Noted
62415,1,No Obstruction Noted
62416,1,No Obstruction Noted
62416,2,No Obstruction Noted
62417,1,No Obstruction Noted
62418,1,No Obstruction Noted
62419,1,No Obstruction Noted
62420,1,No Obstruction Noted
62421,1,No Obstruction Noted
62422,1,No Obstruction Noted
62422,2,No Obstruction Noted
62423,1,No Obstruction Noted
62424,1,No Obstruction Noted
62425,1,No Obstruction Noted
62426,1,No Obstruction Noted
62427,1,No Obstruction Noted
62427,2,No Obstruction Noted
62428,1,No Obstruction Noted
62428,2,No Obstruction Noted
62429,1,No Obstruction Noted
62429,2,No Obstruction Noted
62430,1,No Obstruction Noted
62431,1,No Obstruction Noted
62431,2,No Obstruction Noted
62432,1,No Obstruction Noted
62433,1,No Obstruction Noted
62434,1,No Obstruction Noted
62435,1,No Obstruction Noted
62435,2,No Obstruction Noted
62436,1,No Obstruction Noted
62437,1,No Obstruction Noted
62437,2,No Obstruction Noted
62438,1,No Obstruction Noted
62439,1,No Obstruction Noted
62439,2,No Obstruction Noted
62440,1,No Obstruction Noted
62440,2,No Obstruction Noted
62441,1,No Obstruction Noted
62441,2,No Obstruction Noted
62441,3,No Obstruction Noted
62441,4,No Obstruction Noted
62442,1,No Obstruction Noted
62442,2,No Obstruction Noted
62443,1,No Obstruction Noted
62443,2,No Obstruction Noted
62444,1,No Obstruction Noted
62445,1,No Obstruction Noted
62446,1,No Obstruction Noted
62447,1,No Obstruction Noted
62447,2,No Obstruction Noted
62448,1,No Obstruction Noted
62449,1,No Obstruction Noted
62450,1,No Obstruction Noted
62451,1,No Obstruction Noted
62451,2,No Obstruction Noted
62452,1,No Obstruction Noted
62452,2,No Obstruction Noted
62453,1,No Obstruction Noted
62454,1,No Obstruction Noted
62455,1,No Obstruction Noted
62455,2,No Obstruction Noted
62456,1,No Obstruction Noted
62457,1,No Obstruction Noted
62457,2,No Obstruction Noted
62458,1,No Obstruction Noted
62459,1,No Obstruction Noted
62459,2,No Obstruction Noted
62460,1,No Obstruction Noted
62461,1,No Obstruction Noted
62462,1,No Obstruction Noted
62462,2,No Obstruction Noted
62462,3,No Obstruction Noted
62463,1,No Obstruction Noted
62464,1,No Obstruction Noted
62465,1,No Obstruction Noted
62466,1,No Obstruction Noted
62467,1,No Obstruction Noted
62467,2,No Obstruction Noted
62468,1,No Obstruction Noted
62468,2,No Obstruction Noted
62468,3,No Driver Present/Unknown if Driver present
62469,1,No Obstruction Noted
62470,1,No Obstruction Noted
62470,2,No Obstruction Noted
62471,1,No Obstruction Noted
62472,1,No Obstruction Noted
62473,1,No Obstruction Noted
62473,2,No Obstruction Noted
62474,1,No Obstruction Noted
62475,1,No Obstruction Noted
62476,1,No Obstruction Noted
62477,1,No Obstruction Noted
62478,1,No Obstruction Noted
62479,1,No Obstruction Noted
62479,2,No Obstruction Noted
62480,1,No Obstruction Noted
62481,1,No Obstruction Noted
62482,1,No Obstruction Noted
62482,2,No Obstruction Noted
62483,1,No Obstruction Noted
62484,1,No Obstruction Noted
62485,1,No Obstruction Noted
62486,1,No Obstruction Noted
62487,1,No Obstruction Noted
62487,2,No Obstruction Noted
62488,1,No Obstruction Noted
62489,1,No Obstruction Noted
62490,1,No Obstruction Noted
62490,2,No Obstruction Noted
62491,1,No Obstruction Noted
62491,2,No Obstruction Noted
62491,3,No Obstruction Noted
62492,1,No Obstruction Noted
62492,2,No Obstruction Noted
62493,1,No Obstruction Noted
62493,3,No Obstruction Noted
62494,1,No Obstruction Noted
62495,1,No Obstruction Noted
62495,2,No Obstruction Noted
62496,1,No Obstruction Noted
62497,1,No Obstruction Noted
62498,1,No Obstruction Noted
62498,2,No Obstruction Noted
62500,1,No Obstruction Noted
62500,2,No Obstruction Noted
62501,1,No Obstruction Noted
62501,2,No Obstruction Noted
62502,1,No Obstruction Noted
62503,1,No Obstruction Noted
62503,2,No Obstruction Noted
62504,1,No Obstruction Noted
62505,1,No Obstruction Noted
62506,1,No Obstruction Noted
62506,2,No Obstruction Noted
62507,1,No Obstruction Noted
62507,2,No Obstruction Noted
62507,3,No Obstruction Noted
62507,4,No Obstruction Noted
62508,1,No Obstruction Noted
62509,1,No Obstruction Noted
62510,1,No Obstruction Noted
62511,1,No Obstruction Noted
62512,1,No Obstruction Noted
62513,1,No Obstruction Noted
62514,1,No Obstruction Noted
62514,2,No Obstruction Noted
62515,1,No Obstruction Noted
62516,1,No Obstruction Noted
62517,1,No Obstruction Noted
62517,2,No Obstruction Noted
62518,1,No Obstruction Noted
62519,1,No Obstruction Noted
62520,1,No Obstruction Noted
62521,1,No Obstruction Noted
62522,1,No Obstruction Noted
62523,1,No Obstruction Noted
62523,2,No Obstruction Noted
62524,1,No Obstruction Noted
62525,1,No Obstruction Noted
62525,2,No Obstruction Noted
62526,1,No Obstruction Noted
62527,1,No Obstruction Noted
62527,2,No Obstruction Noted
62528,1,No Obstruction Noted
62528,2,No Obstruction Noted
62528,3,No Obstruction Noted
62528,4,No Obstruction Noted
62529,1,No Obstruction Noted
62529,2,No Obstruction Noted
62530,1,No Obstruction Noted
62530,2,No Obstruction Noted
62532,1,No Obstruction Noted
62533,1,No Obstruction Noted
62533,2,No Obstruction Noted
62534,1,No Obstruction Noted
62535,1,No Obstruction Noted
62536,1,No Obstruction Noted
62537,1,No Obstruction Noted
62537,2,No Obstruction Noted
62538,1,No Obstruction Noted
62538,2,No Obstruction Noted
62539,1,No Obstruction Noted
62540,1,No Obstruction Noted
62541,1,No Obstruction Noted
62542,1,No Obstruction Noted
62543,1,No Obstruction Noted
62543,2,No Obstruction Noted
62543,3,No Obstruction Noted
62544,1,No Obstruction Noted
62545,1,No Obstruction Noted
62545,2,No Driver Present/Unknown if Driver present
62545,3,No Obstruction Noted
62547,1,No Obstruction Noted
62548,1,No Obstruction Noted
62548,2,No Obstruction Noted
62549,1,No Obstruction Noted
62550,1,No Obstruction Noted
62550,2,No Driver Present/Unknown if Driver present
62551,1,No Obstruction Noted
62552,1,No Obstruction Noted
62552,2,No Obstruction Noted
62553,1,No Obstruction Noted
62553,2,No Obstruction Noted
62554,1,No Obstruction Noted
62555,1,No Obstruction Noted
62555,2,No Obstruction Noted
62555,3,No Obstruction Noted
62555,4,No Obstruction Noted
62556,1,No Obstruction Noted
62556,2,No Driver Present/Unknown if Driver present
62557,1,No Obstruction Noted
62558,1,No Obstruction Noted
62559,1,No Obstruction Noted
62560,1,No Obstruction Noted
62561,1,No Obstruction Noted
62562,1,No Obstruction Noted
62563,1,No Obstruction Noted
62564,1,No Obstruction Noted
62564,2,No Obstruction Noted
62565,1,No Obstruction Noted
62565,2,No Obstruction Noted
62566,1,No Obstruction Noted
62567,1,No Obstruction Noted
62567,2,No Obstruction Noted
62568,1,No Obstruction Noted
62568,2,No Obstruction Noted
62569,1,No Obstruction Noted
62569,2,No Obstruction Noted
62570,1,No Obstruction Noted
62571,1,No Obstruction Noted
62571,2,No Obstruction Noted
62571,3,No Obstruction Noted
62572,1,No Obstruction Noted
62572,2,No Obstruction Noted
62573,1,No Obstruction Noted
62574,1,No Obstruction Noted
62575,1,No Obstruction Noted
62576,1,No Obstruction Noted
62576,2,No Obstruction Noted
62576,3,No Obstruction Noted
62576,4,No Obstruction Noted
62576,5,No Obstruction Noted
62577,1,No Obstruction Noted
62578,1,No Obstruction Noted
62579,1,No Obstruction Noted
62580,1,No Obstruction Noted
62580,2,No Obstruction Noted
62581,1,No Obstruction Noted
62582,1,No Obstruction Noted
62583,1,"Rain, Snow, Fog, Smoke, Sand, Dust"
62583,2,Vision Obscured - No Details
62584,1,No Obstruction Noted
62585,1,No Obstruction Noted
62586,1,No Obstruction Noted
62587,1,No Obstruction Noted
62588,1,No Obstruction Noted
62589,1,No Obstruction Noted
62589,2,No Obstruction Noted
62590,1,No Obstruction Noted
62591,1,No Obstruction Noted
62591,2,No Obstruction Noted
62592,1,No Obstruction Noted
62593,1,No Obstruction Noted
62593,2,No Obstruction Noted
62594,1,No Obstruction Noted
62594,2,No Obstruction Noted
62595,1,No Obstruction Noted
62596,1,No Obstruction Noted
62597,1,No Obstruction Noted
62598,1,No Obstruction Noted
62598,2,No Obstruction Noted
62599,1,No Obstruction Noted
62599,2,No Obstruction Noted
62600,1,No Obstruction Noted
62602,1,No Obstruction Noted
62602,2,No Obstruction Noted
62603,1,No Obstruction Noted
62604,1,No Obstruction Noted
62605,1,No Obstruction Noted
62606,1,No Obstruction Noted
62606,2,No Obstruction Noted
62606,3,No Obstruction Noted
62607,1,No Obstruction Noted
62608,1,No Obstruction Noted
62608,2,No Obstruction Noted
62609,1,No Obstruction Noted
62610,1,No Obstruction Noted
62610,2,No Obstruction Noted
62610,3,No Obstruction Noted
62611,1,No Obstruction Noted
62612,1,No Obstruction Noted
62612,2,No Obstruction Noted
62613,1,No Obstruction Noted
62613,2,No Obstruction Noted
62614,1,No Obstruction Noted
62614,2,No Obstruction Noted
62615,1,No Obstruction Noted
62615,2,No Obstruction Noted
62615,3,No Obstruction Noted
62616,1,No Obstruction Noted
62617,1,No Obstruction Noted
62618,1,No Obstruction Noted
62618,2,No Obstruction Noted
62619,1,No Obstruction Noted
62620,1,No Obstruction Noted
62621,1,No Obstruction Noted
62622,1,No Obstruction Noted
62622,2,No Obstruction Noted
62623,1,No Obstruction Noted
62624,1,No Obstruction Noted
62625,1,No Obstruction Noted
62626,1,No Obstruction Noted
62627,1,No Obstruction Noted
62628,1,No Obstruction Noted
62628,2,No Obstruction Noted
62629,1,No Obstruction Noted
62629,2,No Obstruction Noted
62630,1,No Obstruction Noted
62631,1,No Obstruction Noted
62632,1,No Obstruction Noted
62633,1,No Obstruction Noted
62634,1,No Obstruction Noted
62635,1,No Obstruction Noted
62636,1,No Obstruction Noted
62637,1,No Obstruction Noted
62638,1,No Obstruction Noted
62639,1,No Obstruction Noted
62639,2,No Obstruction Noted
62640,1,No Obstruction Noted
62641,1,No Obstruction Noted
62641,2,"Curve, Hill or Other Roadway Design Feature"
62642,1,No Obstruction Noted
62642,2,No Obstruction Noted
62643,1,No Obstruction Noted
62644,1,No Obstruction Noted
62644,2,No Obstruction Noted
62645,1,No Obstruction Noted
62646,1,No Obstruction Noted
62646,2,No Obstruction Noted
62647,1,No Obstruction Noted
62647,2,No Obstruction Noted
62648,1,No Obstruction Noted
62649,1,No Obstruction Noted
62650,1,No Obstruction Noted
62651,1,No Obstruction Noted
62652,1,No Obstruction Noted
62653,1,No Obstruction Noted
62653,2,No Obstruction Noted
62654,1,No Obstruction Noted
62654,2,No Obstruction Noted
62655,1,No Obstruction Noted
62656,1,No Obstruction Noted
62657,1,No Obstruction Noted
62658,1,No Obstruction Noted
62659,1,No Obstruction Noted
62660,1,No Obstruction Noted
62661,1,No Obstruction Noted
62662,1,No Obstruction Noted
62662,2,No Obstruction Noted
62662,3,No Obstruction Noted
62663,1,No Obstruction Noted
62664,1,No Obstruction Noted
62665,1,No Obstruction Noted
62665,2,No Obstruction Noted
62666,1,"Trees, Crops, Vegetation"
62667,1,No Obstruction Noted
62668,1,No Obstruction Noted
62669,1,No Obstruction Noted
62670,1,No Obstruction Noted
62671,1,No Obstruction Noted
62671,2,No Obstruction Noted
62672,1,No Obstruction Noted
62672,2,No Obstruction Noted
62673,1,No Obstruction Noted
62673,2,No Obstruction Noted
62674,1,No Obstruction Noted
62675,1,No Obstruction Noted
62676,1,No Obstruction Noted
62677,1,No Obstruction Noted
62677,2,No Obstruction Noted
62678,1,No Obstruction Noted
62678,2,No Obstruction Noted
62679,1,No Obstruction Noted
62679,2,No Obstruction Noted
62680,1,No Obstruction Noted
62680,2,No Obstruction Noted
62681,1,No Obstruction Noted
62681,2,No Obstruction Noted
62682,1,No Obstruction Noted
62683,1,No Obstruction Noted
62684,1,No Obstruction Noted
62685,1,"Trees, Crops, Vegetation"
62686,1,No Obstruction Noted
62686,2,No Obstruction Noted
62687,1,In-Transport Motor Vehicle (including load)
62687,2,No Obstruction Noted
62688,1,No Obstruction Noted
62689,1,No Obstruction Noted
62690,1,No Obstruction Noted
62691,1,No Obstruction Noted
62692,1,No Obstruction Noted
62693,1,No Obstruction Noted
62693,2,No Obstruction Noted
62693,3,No Obstruction Noted
62693,4,No Obstruction Noted
62693,5,No Obstruction Noted
62694,1,No Obstruction Noted
62695,1,No Obstruction Noted
62695,2,No Obstruction Noted
62697,1,No Obstruction Noted
62698,1,No Obstruction Noted
62699,1,No Obstruction Noted
62699,2,No Obstruction Noted
62700,1,No Obstruction Noted
62700,2,No Obstruction Noted
62700,3,No Obstruction Noted
62701,1,No Obstruction Noted
62701,2,No Obstruction Noted
62702,1,No Obstruction Noted
62703,1,No Obstruction Noted
62703,2,No Obstruction Noted
62704,1,No Obstruction Noted
62705,1,No Obstruction Noted
62705,2,No Obstruction Noted
62705,3,No Obstruction Noted
62705,4,No Obstruction Noted
62706,1,No Obstruction Noted
62707,1,No Obstruction Noted
62708,1,No Obstruction Noted
62709,1,No Obstruction Noted
62710,1,No Obstruction Noted
62711,1,No Obstruction Noted
62711,2,No Obstruction Noted
62712,1,No Obstruction Noted
62712,2,No Obstruction Noted
62713,1,No Obstruction Noted
62713,2,No Obstruction Noted
62714,1,No Obstruction Noted
62714,2,No Obstruction Noted
62714,3,No Obstruction Noted
62714,4,No Obstruction Noted
62715,1,No Obstruction Noted
62716,1,No Obstruction Noted
62716,2,No Obstruction Noted
62716,3,No Obstruction Noted
62717,1,No Obstruction Noted
62718,1,No Obstruction Noted
62719,1,No Obstruction Noted
62721,1,No Obstruction Noted
62721,2,No Obstruction Noted
62722,1,No Obstruction Noted
62722,2,No Obstruction Noted
62723,1,No Obstruction Noted
62724,1,No Obstruction Noted
62724,2,No Obstruction Noted
62725,1,No Obstruction Noted
62725,2,No Obstruction Noted
62726,1,No Obstruction Noted
62727,1,No Obstruction Noted
62727,2,No Obstruction Noted
62727,3,No Obstruction Noted
62728,1,No Obstruction Noted
62729,1,No Obstruction Noted
62729,2,No Obstruction Noted
62730,1,No Obstruction Noted
62731,1,No Obstruction Noted
62731,2,No Obstruction Noted
62732,1,"Reflected Glare, Bright Sunlight, Headlights"
62733,1,No Obstruction Noted
62734,1,No Obstruction Noted
62735,1,No Obstruction Noted
62735,2,No Driver Present/Unknown if Driver present
62736,1,No Obstruction Noted
62737,1,No Obstruction Noted
62738,1,"Not In-Transport Motor Vehicle (parked, working)"
62739,1,No Obstruction Noted
62740,1,No Obstruction Noted
62741,1,No Obstruction Noted
62742,1,No Obstruction Noted
62743,1,No Obstruction Noted
62744,1,No Obstruction Noted
62745,1,No Obstruction Noted
62745,2,No Obstruction Noted
62746,1,No Obstruction Noted
62746,2,No Obstruction Noted
62747,1,No Obstruction Noted
62748,1,No Obstruction Noted
62749,1,No Obstruction Noted
62750,1,No Obstruction Noted
62751,1,No Driver Present/Unknown if Driver present
62752,1,No Obstruction Noted
62752,2,No Obstruction Noted
62753,1,No Obstruction Noted
62754,1,No Obstruction Noted
62754,2,No Obstruction Noted
62755,1,No Obstruction Noted
62756,1,No Obstruction Noted
62756,2,No Obstruction Noted
62757,1,No Obstruction Noted
62757,2,No Obstruction Noted
62758,1,No Obstruction Noted
62758,2,No Obstruction Noted
62758,3,No Obstruction Noted
62759,1,No Obstruction Noted
62759,2,No Obstruction Noted
62759,3,No Obstruction Noted
62759,4,No Obstruction Noted
62760,1,Vision Obscured - No Details
62761,1,No Obstruction Noted
62762,1,No Obstruction Noted
62763,1,No Obstruction Noted
62764,1,No Obstruction Noted
62764,2,No Obstruction Noted
62765,1,No Obstruction Noted
62766,1,No Obstruction Noted
62766,2,No Obstruction Noted
62767,1,No Obstruction Noted
62768,1,No Obstruction Noted
62769,1,No Obstruction Noted
62770,1,No Obstruction Noted
62770,2,No Obstruction Noted
62770,3,No Obstruction Noted
62771,1,No Obstruction Noted
62771,2,No Obstruction Noted
62772,1,No Obstruction Noted
62773,1,No Obstruction Noted
62773,2,No Obstruction Noted
62774,1,No Obstruction Noted
62774,2,No Obstruction Noted
62775,1,No Obstruction Noted
62777,1,No Obstruction Noted
62777,2,No Obstruction Noted
62777,3,No Obstruction Noted
62777,4,No Obstruction Noted
62777,5,No Obstruction Noted
62777,6,No Obstruction Noted
62778,1,No Obstruction Noted
62778,2,No Obstruction Noted
62779,1,No Obstruction Noted
62779,2,No Obstruction Noted
62779,3,No Obstruction Noted
62779,4,No Obstruction Noted
62780,1,No Obstruction Noted
62781,1,No Obstruction Noted
62781,2,No Obstruction Noted
62782,1,No Obstruction Noted
62782,2,No Obstruction Noted
62783,1,No Obstruction Noted
62783,2,No Obstruction Noted
62784,1,No Obstruction Noted
62785,1,No Obstruction Noted
62786,1,No Obstruction Noted
62787,1,No Obstruction Noted
62787,2,"Rain, Snow, Fog, Smoke, Sand, Dust"
62787,3,No Obstruction Noted
62787,4,No Obstruction Noted
62787,5,No Obstruction Noted
62788,1,No Obstruction Noted
62788,2,No Obstruction Noted
62789,1,"Not In-Transport Motor Vehicle (parked, working)"
62790,1,No Obstruction Noted
62791,1,No Obstruction Noted
62791,2,No Obstruction Noted
62792,1,No Obstruction Noted
62792,2,No Obstruction Noted
62793,1,No Obstruction Noted
62793,2,No Obstruction Noted
62794,1,No Obstruction Noted
62795,1,In-Transport Motor Vehicle (including load)
62796,1,No Obstruction Noted
62796,2,No Obstruction Noted
62796,3,No Obstruction Noted
62797,1,No Obstruction Noted
62798,1,No Obstruction Noted
62798,2,No Obstruction Noted
62799,1,No Obstruction Noted
62800,1,No Obstruction Noted
62801,1,No Obstruction Noted
62802,1,No Obstruction Noted
62803,1,No Obstruction Noted
62804,1,No Obstruction Noted
62804,2,No Obstruction Noted
62805,1,No Obstruction Noted
62805,2,No Obstruction Noted
62806,1,No Obstruction Noted
62807,1,No Obstruction Noted
62808,1,No Obstruction Noted
62809,1,No Obstruction Noted
62809,2,No Obstruction Noted
62810,1,No Obstruction Noted
62810,2,No Obstruction Noted
62810,3,No Obstruction Noted
62810,4,No Obstruction Noted
62811,1,No Obstruction Noted
62812,1,No Obstruction Noted
62813,1,No Obstruction Noted
62814,1,No Obstruction Noted
62815,1,No Obstruction Noted
62815,2,No Obstruction Noted
62816,1,No Obstruction Noted
62817,1,No Obstruction Noted
62818,1,No Obstruction Noted
62819,1,No Obstruction Noted
62820,1,No Obstruction Noted
62820,2,No Obstruction Noted
62821,1,No Obstruction Noted
62822,1,No Obstruction Noted
62823,1,No Obstruction Noted
62824,1,No Obstruction Noted
62825,1,No Obstruction Noted
62825,2,No Obstruction Noted
62826,1,No Obstruction Noted
62827,1,No Obstruction Noted
62827,2,No Obstruction Noted
62827,3,No Obstruction Noted
62828,1,No Obstruction Noted
62829,1,No Obstruction Noted
62830,1,No Obstruction Noted
62830,2,No Obstruction Noted
62831,1,No Obstruction Noted
62831,2,No Obstruction Noted
62832,1,No Obstruction Noted
62832,2,No Obstruction Noted
62833,1,No Obstruction Noted
62834,1,No Obstruction Noted
62834,2,No Obstruction Noted
62834,3,No Obstruction Noted
62834,4,No Obstruction Noted
62834,5,No Obstruction Noted
62835,1,No Obstruction Noted
62835,2,No Obstruction Noted
62836,1,No Obstruction Noted
62836,2,No Obstruction Noted
62837,1,No Obstruction Noted
62838,1,No Obstruction Noted
62839,1,No Obstruction Noted
62839,2,No Obstruction Noted
62840,1,No Obstruction Noted
62840,2,No Obstruction Noted
62841,1,No Obstruction Noted
62842,1,No Obstruction Noted
62843,1,No Obstruction Noted
62844,1,No Obstruction Noted
62845,1,No Obstruction Noted
62846,1,No Obstruction Noted
62846,2,No Driver Present/Unknown if Driver present
62847,1,No Obstruction Noted
62848,1,No Obstruction Noted
62848,2,No Driver Present/Unknown if Driver present
62849,1,No Obstruction Noted
62850,1,No Obstruction Noted
62851,1,No Obstruction Noted
62851,2,No Obstruction Noted
62852,1,No Obstruction Noted
62853,1,No Obstruction Noted
62853,2,No Obstruction Noted
62853,3,No Obstruction Noted
62853,4,No Obstruction Noted
62854,1,No Obstruction Noted
62855,1,No Obstruction Noted
62855,2,No Obstruction Noted
62856,1,No Obstruction Noted
62857,1,No Obstruction Noted
62858,1,No Obstruction Noted
62858,2,No Obstruction Noted
62859,1,No Obstruction Noted
62860,1,No Obstruction Noted
62860,2,No Obstruction Noted
62860,3,No Obstruction Noted
