st_case,veh_no,per_no,nmcc
120107,0,1,None Noted
120108,0,1,None Noted
120112,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120112,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120113,0,1,Wrong-Way Riding or Walking
120113,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120115,0,1,None Noted
120118,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120119,0,1,Failure to Yield Right-Of-Way
120119,0,2,Failure to Yield Right-Of-Way
120122,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120127,0,1,None Noted
120127,0,2,None Noted
120127,0,3,None Noted
120135,0,1,None Noted
120138,0,1,"Dash - Run, No Visual Obstruction Noted"
123108,0,1,None Noted
120140,0,1,Failure to Yield Right-Of-Way
120141,0,1,Failure to Yield Right-Of-Way
120143,0,1,Failure to Yield Right-Of-Way
120145,0,1,Failure to Yield Right-Of-Way
120149,0,1,Failure to Yield Right-Of-Way
120152,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120153,0,1,Reported as Unknown
120157,0,1,Failure to Yield Right-Of-Way
120158,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
120159,0,1,None Noted
120166,0,1,Failure to Yield Right-Of-Way
120177,0,1,Failure to Yield Right-Of-Way
120177,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120182,0,1,Failure to Yield Right-Of-Way
120182,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120183,0,1,None Noted
120190,0,1,Failure to Yield Right-Of-Way
120191,0,1,Failure to Yield Right-Of-Way
120191,0,2,Failure to Yield Right-Of-Way
120194,0,1,Improper Turn/Merge
120199,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120208,0,1,Entering/Exiting Parked or Stopped Vehicle
120211,0,1,Failure to Yield Right-Of-Way
120221,0,1,None Noted
120222,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120222,0,1,Wrong-Way Riding or Walking
120228,0,1,"Dash - Run, No Visual Obstruction Noted"
120230,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
120233,0,1,"Dash - Run, No Visual Obstruction Noted"
120236,0,1,Wrong-Way Riding or Walking
120238,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120239,0,1,None Noted
120239,0,2,Wrong-Way Riding or Walking
120239,0,2,"Not Visible (Dark clothing, No Lighting, etc.)"
120241,0,1,None Noted
120255,0,1,Failure to Yield Right-Of-Way
120255,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120271,0,1,None Noted
120273,0,1,Failure to Yield Right-Of-Way
120274,0,1,None Noted
120275,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120278,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
120288,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120290,0,1,Failure to Yield Right-Of-Way
120292,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
120294,0,1,Failure to Yield Right-Of-Way
120295,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
120301,0,1,Failure to Yield Right-Of-Way
120306,0,1,None Noted
120308,0,1,Wrong-Way Riding or Walking
120309,0,1,Failure to Yield Right-Of-Way
120309,0,2,Failure to Yield Right-Of-Way
120316,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120317,0,1,None Noted
120329,0,1,Failure to Yield Right-Of-Way
120330,0,1,None Noted
120333,0,1,Failure to Yield Right-Of-Way
120335,0,1,Failure to Yield Right-Of-Way
120335,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120337,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
120337,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
120339,0,1,Failure to Yield Right-Of-Way
120340,0,1,Failure to Yield Right-Of-Way
120341,0,1,Failure to Yield Right-Of-Way
120343,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120344,0,1,Entering/Exiting Parked or Stopped Vehicle
120344,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120348,0,1,Failure to Yield Right-Of-Way
120350,0,1,None Noted
120350,0,2,None Noted
120352,0,1,Failure to Yield Right-Of-Way
120352,0,1,"Inattentive (Talking, Eating, Etc.)"
120354,0,1,Failure to Yield Right-Of-Way
120356,0,1,None Noted
120360,0,1,None Noted
120364,0,1,Failure to Yield Right-Of-Way
120364,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
120366,0,1,None Noted
120369,0,1,Failure to Yield Right-Of-Way
120369,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
120369,0,2,Failure to Yield Right-Of-Way
120369,0,2,"Failure to Obey Traffic Signs, Signals or Officer"
120371,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
120372,0,1,Failure to Yield Right-Of-Way
120372,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120376,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120378,0,1,Failure to Yield Right-Of-Way
120379,0,1,Wrong-Way Riding or Walking
120379,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120381,0,1,"Dash - Run, No Visual Obstruction Noted"
120381,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
120382,0,1,Failure to Yield Right-Of-Way
120383,0,1,Failure to Yield Right-Of-Way
120383,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
120384,0,1,Failure to Yield Right-Of-Way
120384,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120393,0,1,None Noted
120395,0,1,None Noted
120396,0,1,Failure to Yield Right-Of-Way
120399,0,1,Failure to Yield Right-Of-Way
120406,0,1,Failure to Yield Right-Of-Way
120407,0,1,Failure to Yield Right-Of-Way
120413,0,1,Riding on Wrong Side of Road
120420,0,1,Failure to Yield Right-Of-Way
120422,0,1,Failure to Yield Right-Of-Way
120426,0,1,Failure to Yield Right-Of-Way
120429,0,1,Failure to Yield Right-Of-Way
120430,0,1,None Noted
120433,0,1,Reported as Unknown
120436,0,1,Failure to Yield Right-Of-Way
120441,0,1,Wrong-Way Riding or Walking
120444,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
120445,0,1,None Noted
120446,0,1,None Noted
120449,0,1,Wrong-Way Riding or Walking
120456,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
120456,0,1,"Dash - Run, No Visual Obstruction Noted"
120459,0,1,None Noted
120459,0,2,None Noted
120459,0,3,None Noted
120459,0,4,None Noted
120459,0,5,None Noted
120459,0,6,None Noted
120459,0,7,None Noted
120459,0,8,None Noted
120459,0,9,None Noted
120462,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
120464,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120465,0,1,Failure to Yield Right-Of-Way
120471,0,1,Failure to Yield Right-Of-Way
120473,0,1,None Noted
120476,0,1,None Noted
120477,0,1,Failure to Yield Right-Of-Way
120493,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120498,0,1,Reported as Unknown
120500,0,1,"Dash - Run, No Visual Obstruction Noted"
120503,0,1,Failure to Yield Right-Of-Way
120506,0,1,Failure to Yield Right-Of-Way
120508,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120510,0,1,Wrong-Way Riding or Walking
120512,0,1,Failure to Yield Right-Of-Way
120513,0,1,None Noted
120513,0,2,None Noted
120516,0,1,None Noted
120519,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120519,0,2,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120521,0,1,Failure to Yield Right-Of-Way
120522,0,1,Improper Turn/Merge
120523,0,1,Failure to Yield Right-Of-Way
120523,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120524,0,1,Failure to Yield Right-Of-Way
120525,0,1,"Dash - Run, No Visual Obstruction Noted"
120530,0,1,Failure to Yield Right-Of-Way
120530,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
120533,0,1,Wrong-Way Riding or Walking
120538,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120538,0,1,Wrong-Way Riding or Walking
120541,0,1,None Noted
120541,0,2,None Noted
120542,0,1,Failure to Yield Right-Of-Way
120542,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120543,0,1,Reported as Unknown
120545,0,1,None Noted
120546,0,1,Failure to Yield Right-Of-Way
120546,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
120550,0,1,Failure to Yield Right-Of-Way
120556,0,1,Failure to Yield Right-Of-Way
120556,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
120557,0,1,Failure to Yield Right-Of-Way
120561,0,1,"Dash - Run, No Visual Obstruction Noted"
120564,0,1,Failure to Yield Right-Of-Way
120565,0,1,Failure to Yield Right-Of-Way
120568,0,1,None Noted
120569,0,1,Failure to Yield Right-Of-Way
120569,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120571,0,1,None Noted
120575,0,1,Failure to Yield Right-Of-Way
120579,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
120579,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120589,0,1,Failure to Yield Right-Of-Way
120589,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120589,0,2,Failure to Yield Right-Of-Way
120589,0,2,"Not Visible (Dark clothing, No Lighting, etc.)"
120594,0,1,None Noted
120594,0,2,None Noted
120606,0,1,None Noted
120607,0,1,Failure to Yield Right-Of-Way
120607,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120608,0,1,None Noted
120610,0,1,Failure to Yield Right-Of-Way
120610,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120612,0,1,Failure to Yield Right-Of-Way
120612,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120613,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120616,0,1,None Noted
120618,0,1,Riding on Wrong Side of Road
120621,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120625,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120631,0,1,Failure to Yield Right-Of-Way
120636,0,1,None Noted
120639,0,1,Failure to Yield Right-Of-Way
120641,0,1,Failure to Yield Right-Of-Way
120644,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120647,0,1,Failure to Yield Right-Of-Way
120655,0,1,Failure to Yield Right-Of-Way
120656,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120663,0,1,Wrong-Way Riding or Walking
120668,0,1,None Noted
120668,0,2,None Noted
120669,0,1,None Noted
120671,0,1,Failure to Yield Right-Of-Way
120676,0,1,None Noted
120678,0,1,Failure to Yield Right-Of-Way
120681,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
120684,0,1,"Dash - Run, No Visual Obstruction Noted"
120687,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
120688,0,1,Wrong-Way Riding or Walking
120692,0,1,None Noted
120694,0,1,Failure to Yield Right-Of-Way
120694,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120698,0,1,None Noted
120698,0,2,None Noted
120698,0,3,None Noted
120698,0,4,None Noted
120706,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120713,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120717,0,1,Failure to Yield Right-Of-Way
120721,0,1,Failure to Yield Right-Of-Way
120721,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120723,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
120723,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120724,0,1,Failure to Yield Right-Of-Way
120724,0,2,Failure to Yield Right-Of-Way
120728,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
120729,0,1,Failure to Yield Right-Of-Way
120729,0,1,"Dash - Run, No Visual Obstruction Noted"
120729,0,2,Failure to Yield Right-Of-Way
120729,0,2,"Dash - Run, No Visual Obstruction Noted"
120730,0,1,Wrong-Way Riding or Walking
120730,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120738,0,1,Wrong-Way Riding or Walking
120739,0,1,"Dash - Run, No Visual Obstruction Noted"
120742,0,1,Failure to Yield Right-Of-Way
120742,0,1,"Dash - Run, No Visual Obstruction Noted"
120746,0,1,Failure to Yield Right-Of-Way
120747,0,1,Reported as Unknown
120748,0,1,None Noted
120749,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120749,0,1,Wrong-Way Riding or Walking
120749,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120751,0,1,"Dash - Run, No Visual Obstruction Noted"
120752,0,1,Failure to Yield Right-Of-Way
120753,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120753,0,2,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120756,0,1,Failure to Yield Right-Of-Way
120756,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120761,0,1,Failure to Yield Right-Of-Way
120762,0,1,Failure to Yield Right-Of-Way
120762,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120764,0,1,Failure to Yield Right-Of-Way
120767,0,1,None Noted
120767,0,2,None Noted
120768,0,1,Failure to Yield Right-Of-Way
123109,0,1,None Noted
120768,0,2,Failure to Yield Right-Of-Way
120768,0,3,Failure to Yield Right-Of-Way
120771,0,1,Reported as Unknown
120775,0,1,Failure to Yield Right-Of-Way
120775,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
120776,0,1,Wrong-Way Riding or Walking
120777,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120779,0,1,Failure to Yield Right-Of-Way
120783,0,1,Failure to Yield Right-Of-Way
120785,0,1,Failure to Yield Right-Of-Way
120791,0,1,None Noted
120794,0,1,None Noted
120803,0,1,Failure to Yield Right-Of-Way
120804,0,1,Wrong-Way Riding or Walking
120808,0,1,None Noted
120809,0,1,None Noted
120810,0,1,Failure to Yield Right-Of-Way
120813,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120816,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120832,0,1,Failure to Yield Right-Of-Way
120838,0,1,None Noted
120855,0,1,Failure to Yield Right-Of-Way
120856,0,1,None Noted
120856,0,2,None Noted
120860,0,1,"Dash - Run, No Visual Obstruction Noted"
120861,0,1,None Noted
120862,0,1,Failure to Yield Right-Of-Way
120863,0,1,Failure to Yield Right-Of-Way
120863,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120873,0,1,Failure to Yield Right-Of-Way
120875,0,1,Failure to Yield Right-Of-Way
120876,0,1,Wrong-Way Riding or Walking
120882,0,1,Improper Turn/Merge
120890,0,1,None Noted
120898,0,1,Failure to Yield Right-Of-Way
120898,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
120900,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120901,0,1,None Noted
120905,0,1,Failure to Yield Right-Of-Way
120905,0,1,Wrong-Way Riding or Walking
120909,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
120915,0,1,Riding on Wrong Side of Road
120917,0,1,"Dash - Run, No Visual Obstruction Noted"
120919,0,1,Failure to Yield Right-Of-Way
120921,0,1,"Dash - Run, No Visual Obstruction Noted"
120925,0,1,Failure to Yield Right-Of-Way
120927,0,1,Failure to Yield Right-Of-Way
120936,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120946,0,1,Failure to Yield Right-Of-Way
120950,0,1,None Noted
120951,0,1,Improper Turn/Merge
120956,0,1,Contributing Circumstance - No Details
120959,0,1,Failure to Yield Right-Of-Way
120961,0,1,Wrong-Way Riding or Walking
120961,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
120962,0,1,None Noted
120963,0,1,Failure to Yield Right-Of-Way
120964,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120965,0,1,Failure to Yield Right-Of-Way
120971,0,1,Failure to Yield Right-Of-Way
120974,0,1,Failure to Yield Right-Of-Way
120983,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120989,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
120991,0,1,Failure to Yield Right-Of-Way
120993,0,1,Failure to Yield Right-Of-Way
120996,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121004,0,1,Wrong-Way Riding or Walking
121006,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
121008,0,1,Failure to Yield Right-Of-Way
121009,0,1,Failure to Yield Right-Of-Way
121010,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121010,0,2,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121011,0,1,None Noted
121011,0,2,None Noted
121019,0,1,Failure to Yield Right-Of-Way
121020,0,1,Failure to Yield Right-Of-Way
121023,0,1,Failure to Yield Right-Of-Way
121029,0,1,None Noted
121034,0,1,Failure to Yield Right-Of-Way
121036,0,1,Failure to Yield Right-Of-Way
121037,0,1,Failure to Yield Right-Of-Way
121037,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
121040,0,1,Wrong-Way Riding or Walking
121040,0,2,Wrong-Way Riding or Walking
121040,0,3,Wrong-Way Riding or Walking
121041,0,1,None Noted
121042,0,1,Failure to Yield Right-Of-Way
121043,0,1,None Noted
121062,0,1,Failure to Yield Right-Of-Way
121065,0,1,"Dash - Run, No Visual Obstruction Noted"
121066,0,1,Failure to Yield Right-Of-Way
121067,0,1,Failure to Yield Right-Of-Way
121070,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
121072,0,1,Failure to Yield Right-Of-Way
121081,0,1,Failure to Yield Right-Of-Way
121083,0,1,Failure to Yield Right-Of-Way
121094,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
121107,0,1,Failure to Yield Right-Of-Way
121110,0,1,Failure to Yield Right-Of-Way
121111,0,1,None Noted
121111,0,2,None Noted
121111,0,3,None Noted
121117,0,1,Failure to Yield Right-Of-Way
121121,0,1,Failure to Yield Right-Of-Way
121123,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121126,0,1,Wrong-Way Riding or Walking
121127,0,1,"Inattentive (Talking, Eating, Etc.)"
121127,0,1,"Dash - Run, No Visual Obstruction Noted"
121131,0,1,"Dash - Run, No Visual Obstruction Noted"
121131,0,2,"Dash - Run, No Visual Obstruction Noted"
121132,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
121136,0,1,Failure to Yield Right-Of-Way
121145,0,1,None Noted
121146,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121148,0,1,Failure to Yield Right-Of-Way
121151,0,1,Reported as Unknown
121152,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121152,0,1,Wrong-Way Riding or Walking
121162,0,1,Failure to Yield Right-Of-Way
121165,0,1,Failure to Yield Right-Of-Way
121166,0,1,Failure to Yield Right-Of-Way
121168,0,1,Wrong-Way Riding or Walking
121174,0,1,"Dash - Run, No Visual Obstruction Noted"
121192,0,1,None Noted
121193,0,1,None Noted
121193,0,2,None Noted
121194,0,1,Reported as Unknown
121203,0,1,None Noted
121205,0,1,None Noted
121205,0,2,None Noted
121207,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
121213,0,1,None Noted
121213,0,2,None Noted
121219,0,1,"Dash - Run, No Visual Obstruction Noted"
121223,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121224,0,1,Failure to Yield Right-Of-Way
121227,0,1,Reported as Unknown
121228,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121228,0,1,Wrong-Way Riding or Walking
121229,0,1,Failure to Yield Right-Of-Way
121234,0,1,Failure to Yield Right-Of-Way
121242,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121253,0,1,Failure to Yield Right-Of-Way
121266,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121269,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
121273,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
121279,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121279,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
121281,0,1,None Noted
121283,0,1,None Noted
121284,0,1,Failure to Yield Right-Of-Way
121292,0,1,Reported as Unknown
121293,0,1,None Noted
121294,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
121298,0,1,None Noted
121299,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
121303,0,1,Failure to Yield Right-Of-Way
121309,0,1,Failure to Yield Right-Of-Way
121310,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121316,0,1,None Noted
121319,0,1,Failure to Yield Right-Of-Way
121320,0,1,Failure to Yield Right-Of-Way
121321,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121323,0,1,Failure to Yield Right-Of-Way
121323,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
121326,0,1,Failure to Yield Right-Of-Way
121328,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121330,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121332,0,1,Failure to Yield Right-Of-Way
121332,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
121339,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
121340,0,1,"Dash - Run, No Visual Obstruction Noted"
121343,0,1,None Noted
121361,0,1,Failure to Yield Right-Of-Way
121371,0,1,Failure to Yield Right-Of-Way
121371,0,2,Failure to Yield Right-Of-Way
121378,0,1,Failure to Yield Right-Of-Way
121379,0,1,Wrong-Way Riding or Walking
121385,0,1,Failure to Yield Right-Of-Way
121388,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
121391,0,1,Failure to Yield Right-Of-Way
121391,0,1,"Dash - Run, No Visual Obstruction Noted"
121392,0,1,None Noted
121392,0,2,None Noted
121398,0,1,None Noted
121404,0,1,Failure to Yield Right-Of-Way
121405,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121406,0,1,None Noted
121414,0,1,None Noted
121417,0,1,Failure to Yield Right-Of-Way
121424,0,1,Failure to Yield Right-Of-Way
121429,0,1,Failure to Yield Right-Of-Way
121431,0,1,"Dash - Run, No Visual Obstruction Noted"
121433,0,1,Failure to Yield Right-Of-Way
121436,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121440,0,1,Failure to Yield Right-Of-Way
121440,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
121441,0,1,Reported as Unknown
121445,0,1,Failure to Yield Right-Of-Way
121452,0,1,None Noted
121453,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121454,0,1,Wrong-Way Riding or Walking
121456,0,1,Failure to Yield Right-Of-Way
121462,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121466,0,1,Failure to Yield Right-Of-Way
121475,0,1,None Noted
121475,0,2,None Noted
121486,0,1,None Noted
121486,0,2,None Noted
121486,0,3,None Noted
121490,0,1,None Noted
121493,0,1,Failure to Yield Right-Of-Way
121494,0,1,Failure to Yield Right-Of-Way
121504,0,1,Wrong-Way Riding or Walking
121506,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
121506,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
121511,0,1,Reported as Unknown
121518,0,1,"Dash - Run, No Visual Obstruction Noted"
121523,0,1,Failure to Yield Right-Of-Way
121525,0,1,Failure to Yield Right-Of-Way
121528,0,1,"Dash - Run, No Visual Obstruction Noted"
121539,0,1,Failure to Yield Right-Of-Way
121541,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121545,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121545,0,2,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121549,0,1,Failure to Yield Right-Of-Way
121575,0,1,Failure to Yield Right-Of-Way
121578,0,1,None Noted
121582,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121587,0,1,Failure to Yield Right-Of-Way
121590,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121593,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121597,0,1,Failure to Yield Right-Of-Way
121600,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121600,0,1,Wrong-Way Riding or Walking
121601,0,1,Failure to Yield Right-Of-Way
121603,0,1,Failure to Yield Right-Of-Way
121603,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
121620,0,1,Reported as Unknown
121621,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121622,0,1,Failure to Yield Right-Of-Way
121622,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
121623,0,1,Failure to Yield Right-Of-Way
121651,0,1,Failure to Yield Right-Of-Way
121652,0,1,Failure to Yield Right-Of-Way
121652,0,1,"Dash - Run, No Visual Obstruction Noted"
121657,0,1,Wrong-Way Riding or Walking
121657,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
121659,0,1,Failure to Yield Right-Of-Way
121660,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121661,0,1,Failure to Yield Right-Of-Way
121664,0,1,Wrong-Way Riding or Walking
121668,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
121670,0,1,None Noted
121672,0,1,Failure to Yield Right-Of-Way
121672,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
121681,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121688,0,1,Failure to Yield Right-Of-Way
121694,0,1,Failure to Yield Right-Of-Way
121698,0,1,None Noted
121703,0,1,None Noted
121715,0,1,Wrong-Way Riding or Walking
121717,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121722,0,1,Failure to Yield Right-Of-Way
121728,0,1,Failure to Yield Right-Of-Way
121731,0,1,Reported as Unknown
121732,0,1,"Dash - Run, No Visual Obstruction Noted"
121736,0,1,None Noted
121737,0,1,Failure to Yield Right-Of-Way
121739,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
121741,0,1,None Noted
121742,0,1,Failure to Yield Right-Of-Way
121753,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121754,0,1,Failure to Yield Right-Of-Way
121754,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
121756,0,1,Failure to Yield Right-Of-Way
121756,0,1,"Dash - Run, No Visual Obstruction Noted"
121764,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
121766,0,1,Failure to Yield Right-Of-Way
121770,0,1,Reported as Unknown
121771,0,1,Failure to Yield Right-Of-Way
121782,0,1,None Noted
121790,0,1,Wrong-Way Riding or Walking
121800,0,1,None Noted
121812,0,1,Failure to Yield Right-Of-Way
121817,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
121818,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121823,0,1,Failure to Yield Right-Of-Way
121831,0,1,Failure to Yield Right-Of-Way
121831,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
121836,0,1,None Noted
121844,0,1,Failure to Yield Right-Of-Way
121844,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121848,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
121850,0,1,Failure to Yield Right-Of-Way
121850,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
121856,0,1,None Noted
121857,0,1,Wrong-Way Riding or Walking
121858,0,1,Failure to Yield Right-Of-Way
121858,0,2,Failure to Yield Right-Of-Way
