ST_CASE,VEH_NO,DRIVER_IMPAIRMENT
62608,1,"Under the Influence of Alcohol, Drugs or Medication"
62608,2,
62609,1,None/Apparently Normal
62610,1,"Under the Influence of Alcohol, Drugs or Medication"
62610,2,
62610,3,
62611,1,
62612,1,None/Apparently Normal
62612,2,None/Apparently Normal
62613,1,None/Apparently Normal
62613,2,None/Apparently Normal
62614,1,
62614,2,
62615,1,"Under the Influence of Alcohol, Drugs or Medication"
62615,2,
62615,3,
62616,1,None/Apparently Normal
62617,1,
62618,1,"Under the Influence of Alcohol, Drugs or Medication"
62618,2,
62619,1,None/Apparently Normal
62620,1,
62621,1,
62622,1,
62622,2,
62623,1,
62624,1,
62625,1,None/Apparently Normal
62626,1,None/Apparently Normal
62627,1,None/Apparently Normal
62628,1,
62628,2,
62629,1,
62629,2,
62630,1,
62631,1,None/Apparently Normal
62632,1,
62633,1,
62634,1,"Under the Influence of Alcohol, Drugs or Medication"
62635,1,
62636,1,
62637,1,"Under the Influence of Alcohol, Drugs or Medication"
62638,1,
62639,1,"Ill, Blackout"
62639,2,
62640,1,
62641,1,"Under the Influence of Alcohol, Drugs or Medication"
62641,2,
62642,1,"Under the Influence of Alcohol, Drugs or Medication"
62642,2,
62643,1,None/Apparently Normal
62644,1,
62644,2,
62645,1,"Under the Influence of Alcohol, Drugs or Medication"
62646,1,
62646,2,
62647,1,"Under the Influence of Alcohol, Drugs or Medication"
62647,2,
62648,1,None/Apparently Normal
62649,1,
62650,1,
62651,1,None/Apparently Normal
62652,1,None/Apparently Normal
62653,1,
62653,2,"Under the Influence of Alcohol, Drugs or Medication"
62654,1,None/Apparently Normal
62654,2,None/Apparently Normal
62655,1,
62656,1,
62657,1,"Under the Influence of Alcohol, Drugs or Medication"
62658,1,"Under the Influence of Alcohol, Drugs or Medication"
62659,1,"Under the Influence of Alcohol, Drugs or Medication"
62660,1,Asleep or Fatigued
62661,1,None/Apparently Normal
62662,1,
62662,2,
62662,3,
62663,1,
62664,1,
62665,1,"Under the Influence of Alcohol, Drugs or Medication"
62665,2,
62666,1,None/Apparently Normal
62667,1,None/Apparently Normal
62668,1,Other Physical Impairment
62669,1,None/Apparently Normal
62670,1,"Under the Influence of Alcohol, Drugs or Medication"
62671,1,None/Apparently Normal
62671,2,None/Apparently Normal
62672,1,
62672,2,None/Apparently Normal
62673,1,None/Apparently Normal
62673,2,None/Apparently Normal
62674,1,
62675,1,
62676,1,
62677,1,None/Apparently Normal
62677,2,None/Apparently Normal
62678,1,"Under the Influence of Alcohol, Drugs or Medication"
62678,2,None/Apparently Normal
62679,1,
62679,2,None/Apparently Normal
62680,1,
62680,2,None/Apparently Normal
62681,1,
62681,2,
62682,1,
62683,1,
62684,1,
62685,1,None/Apparently Normal
62686,1,
62686,2,
62687,1,
62687,2,None/Apparently Normal
62688,1,
62689,1,
62690,1,"Under the Influence of Alcohol, Drugs or Medication"
62691,1,
62692,1,
62693,1,
62693,2,
62693,3,
62693,4,
62693,5,
62694,1,
62695,1,None/Apparently Normal
62695,2,None/Apparently Normal
62697,1,
62698,1,None/Apparently Normal
62699,1,
62699,2,
62700,1,"Under the Influence of Alcohol, Drugs or Medication"
62700,2,
62700,3,
62701,1,None/Apparently Normal
62701,2,
62702,1,
62703,1,
62703,2,"Under the Influence of Alcohol, Drugs or Medication"
62704,1,
62705,1,"Under the Influence of Alcohol, Drugs or Medication"
62705,2,None/Apparently Normal
62705,3,None/Apparently Normal
62705,4,None/Apparently Normal
62706,1,
62707,1,
62708,1,
62709,1,
62710,1,
62711,1,
62711,2,
62712,1,Asleep or Fatigued
62712,2,
62713,1,
62713,2,
62714,1,None/Apparently Normal
62714,2,None/Apparently Normal
62714,3,None/Apparently Normal
62714,4,None/Apparently Normal
62715,1,
62716,1,None/Apparently Normal
62716,2,None/Apparently Normal
62716,3,None/Apparently Normal
62717,1,None/Apparently Normal
62718,1,None/Apparently Normal
62719,1,"Under the Influence of Alcohol, Drugs or Medication"
62721,1,"Under the Influence of Alcohol, Drugs or Medication"
62721,2,None/Apparently Normal
62722,1,
62722,2,
62723,1,
62724,1,
62724,2,
62725,1,None/Apparently Normal
62725,2,
62726,1,
62727,1,None/Apparently Normal
62727,2,None/Apparently Normal
62727,3,None/Apparently Normal
62728,1,
62729,1,
62729,2,None/Apparently Normal
62730,1,None/Apparently Normal
62731,1,
62731,2,None/Apparently Normal
62732,1,None/Apparently Normal
62733,1,"Under the Influence of Alcohol, Drugs or Medication"
62734,1,"Ill, Blackout"
62735,1,
62735,2,
62736,1,
62737,1,"Under the Influence of Alcohol, Drugs or Medication"
62738,1,None/Apparently Normal
62739,1,
62740,1,
62741,1,Blind/Low Vision
62742,1,
62743,1,
62744,1,None/Apparently Normal
62745,1,None/Apparently Normal
62745,2,None/Apparently Normal
62746,1,"Under the Influence of Alcohol, Drugs or Medication"
62746,2,
62747,1,"Under the Influence of Alcohol, Drugs or Medication"
62748,1,
62749,1,
62750,1,"Under the Influence of Alcohol, Drugs or Medication"
62751,1,
62752,1,
62752,2,None/Apparently Normal
62753,1,None/Apparently Normal
62754,1,"Under the Influence of Alcohol, Drugs or Medication"
62754,2,
62755,1,
62756,1,
62756,2,
62757,1,
62757,2,None/Apparently Normal
62758,1,
62758,2,"Under the Influence of Alcohol, Drugs or Medication"
62758,3,
62759,1,"Under the Influence of Alcohol, Drugs or Medication"
62759,2,None/Apparently Normal
62759,3,None/Apparently Normal
62759,4,None/Apparently Normal
62760,1,None/Apparently Normal
62761,1,None/Apparently Normal
62762,1,None/Apparently Normal
62763,1,"Under the Influence of Alcohol, Drugs or Medication"
62764,1,None/Apparently Normal
62764,2,None/Apparently Normal
62765,1,None/Apparently Normal
62766,1,"Under the Influence of Alcohol, Drugs or Medication"
62766,2,None/Apparently Normal
62767,1,"Ill, Blackout"
62768,1,
62769,1,"Under the Influence of Alcohol, Drugs or Medication"
62770,1,"Under the Influence of Alcohol, Drugs or Medication"
62770,2,None/Apparently Normal
62770,3,None/Apparently Normal
62771,1,
62771,2,
62772,1,"Under the Influence of Alcohol, Drugs or Medication"
62773,1,
62773,2,
62774,1,
62774,2,None/Apparently Normal
62775,1,"Under the Influence of Alcohol, Drugs or Medication"
62777,1,
62777,2,
62777,3,
62777,4,
62777,5,Other Physical Impairment
62777,6,
62778,1,
62778,2,None/Apparently Normal
62779,1,"Under the Influence of Alcohol, Drugs or Medication"
62779,2,
62779,3,
62779,4,
62780,1,
62781,1,
62781,2,
62782,1,
62782,2,None/Apparently Normal
62783,1,
62783,2,None/Apparently Normal
62784,1,None/Apparently Normal
62785,1,
62786,1,None/Apparently Normal
62787,1,None/Apparently Normal
62787,2,
62787,3,
62787,4,
62787,5,
62788,1,
62788,2,
62789,1,
62790,1,"Under the Influence of Alcohol, Drugs or Medication"
62791,1,"Under the Influence of Alcohol, Drugs or Medication"
62791,2,
62792,1,"Under the Influence of Alcohol, Drugs or Medication"
62792,2,None/Apparently Normal
62793,1,"Under the Influence of Alcohol, Drugs or Medication"
62793,2,
62794,1,
62795,1,
62796,1,
62796,2,None/Apparently Normal
62796,3,None/Apparently Normal
62797,1,"Under the Influence of Alcohol, Drugs or Medication"
62798,1,
62798,2,
62799,1,"Under the Influence of Alcohol, Drugs or Medication"
62800,1,
62801,1,None/Apparently Normal
62802,1,
62803,1,"Under the Influence of Alcohol, Drugs or Medication"
62804,1,
62804,2,
62805,1,None/Apparently Normal
62805,2,None/Apparently Normal
62806,1,
62807,1,
62808,1,
62809,1,"Under the Influence of Alcohol, Drugs or Medication"
62809,2,None/Apparently Normal
62810,1,"Under the Influence of Alcohol, Drugs or Medication"
62810,2,None/Apparently Normal
62810,3,None/Apparently Normal
62810,4,None/Apparently Normal
62811,1,
62812,1,
62813,1,None/Apparently Normal
62814,1,None/Apparently Normal
62815,1,
62815,2,None/Apparently Normal
62816,1,
62817,1,
62818,1,
62819,1,
62820,1,
62820,2,
62821,1,"Ill, Blackout"
62822,1,None/Apparently Normal
62823,1,
62824,1,
62825,1,"Under the Influence of Alcohol, Drugs or Medication"
62825,2,
62826,1,
62827,1,"Under the Influence of Alcohol, Drugs or Medication"
62827,2,None/Apparently Normal
62827,3,None/Apparently Normal
62828,1,
62829,1,"Under the Influence of Alcohol, Drugs or Medication"
62830,1,
62830,2,None/Apparently Normal
62831,1,None/Apparently Normal
62831,2,
62832,1,"Under the Influence of Alcohol, Drugs or Medication"
62832,2,None/Apparently Normal
62833,1,None/Apparently Normal
62834,1,
62834,2,
62834,3,
62834,4,
62834,5,
62835,1,Asleep or Fatigued
62835,2,
62836,1,"Under the Influence of Alcohol, Drugs or Medication"
62836,2,
62837,1,
62838,1,
62839,1,None/Apparently Normal
62839,2,None/Apparently Normal
62840,1,
62840,2,
62841,1,
62842,1,
62843,1,"Under the Influence of Alcohol, Drugs or Medication"
62844,1,"Under the Influence of Alcohol, Drugs or Medication"
62845,1,
62846,1,None/Apparently Normal
62846,2,
62847,1,"Under the Influence of Alcohol, Drugs or Medication"
62848,1,
62848,2,
62849,1,"Under the Influence of Alcohol, Drugs or Medication"
62850,1,"Under the Influence of Alcohol, Drugs or Medication"
62851,1,
62851,2,
62852,1,"Under the Influence of Alcohol, Drugs or Medication"
62853,1,
62853,2,None/Apparently Normal
62853,3,None/Apparently Normal
62853,4,None/Apparently Normal
62854,1,None/Apparently Normal
62855,1,None/Apparently Normal
62855,2,
62856,1,
62857,1,None/Apparently Normal
62858,1,
62858,2,None/Apparently Normal
62859,1,"Under the Influence of Alcohol, Drugs or Medication"
62860,1,
62860,2,"Under the Influence of Alcohol, Drugs or Medication"
62860,3,
62861,1,
62861,2,
62862,1,"Under the Influence of Alcohol, Drugs or Medication"
62863,1,"Under the Influence of Alcohol, Drugs or Medication"
62864,1,
62865,1,"Under the Influence of Alcohol, Drugs or Medication"
62865,2,None/Apparently Normal
62866,1,
62867,1,"Under the Influence of Alcohol, Drugs or Medication"
62868,1,"Under the Influence of Alcohol, Drugs or Medication"
62869,1,
62869,2,
62870,1,
62871,1,None/Apparently Normal
62872,1,"Under the Influence of Alcohol, Drugs or Medication"
62872,2,
62873,1,"Under the Influence of Alcohol, Drugs or Medication"
62874,1,None/Apparently Normal
62875,1,
62876,1,
62876,2,
62877,1,
62878,1,
62879,1,"Under the Influence of Alcohol, Drugs or Medication"
62880,1,
62881,1,"Under the Influence of Alcohol, Drugs or Medication"
62882,1,
62882,2,None/Apparently Normal
62883,1,"Under the Influence of Alcohol, Drugs or Medication"
62883,2,None/Apparently Normal
62884,1,"Under the Influence of Alcohol, Drugs or Medication"
62885,1,"Under the Influence of Alcohol, Drugs or Medication"
62886,1,None/Apparently Normal
62887,1,
62888,1,"Under the Influence of Alcohol, Drugs or Medication"
62888,2,
62889,1,
62890,1,"Under the Influence of Alcohol, Drugs or Medication"
62891,1,
62891,2,
62892,1,
62893,1,
62894,1,
62895,1,None/Apparently Normal
62896,1,"Under the Influence of Alcohol, Drugs or Medication"
62897,1,None/Apparently Normal
62898,1,None/Apparently Normal
62899,1,None/Apparently Normal
62900,1,None/Apparently Normal
62901,1,
62902,1,None/Apparently Normal
62903,1,None/Apparently Normal
62903,2,None/Apparently Normal
62903,3,None/Apparently Normal
62903,4,None/Apparently Normal
62903,5,None/Apparently Normal
62904,1,None/Apparently Normal
62904,2,None/Apparently Normal
62905,1,
62905,2,None/Apparently Normal
62906,1,None/Apparently Normal
62907,1,
62907,2,
62907,3,None/Apparently Normal
62907,4,None/Apparently Normal
62907,5,None/Apparently Normal
62908,1,"Under the Influence of Alcohol, Drugs or Medication"
62908,2,
62909,1,"Under the Influence of Alcohol, Drugs or Medication"
62909,2,
62910,1,
62910,2,None/Apparently Normal
62911,1,"Under the Influence of Alcohol, Drugs or Medication"
62911,2,
62912,1,
62913,1,"Under the Influence of Alcohol, Drugs or Medication"
62913,2,
62914,1,None/Apparently Normal
62914,2,None/Apparently Normal
62914,3,None/Apparently Normal
62914,4,None/Apparently Normal
62915,1,
62916,1,None/Apparently Normal
62917,1,None/Apparently Normal
62918,1,"Under the Influence of Alcohol, Drugs or Medication"
62918,2,
62919,1,
62920,1,None/Apparently Normal
62921,1,
62921,2,
62922,1,"Under the Influence of Alcohol, Drugs or Medication"
62922,2,
62922,3,
62923,1,None/Apparently Normal
62924,1,"Under the Influence of Alcohol, Drugs or Medication"
62925,1,None/Apparently Normal
62926,1,
62926,2,
62927,1,
62928,1,None/Apparently Normal
62928,2,
62929,1,
62929,2,None/Apparently Normal
62930,1,
62931,1,None/Apparently Normal
62931,2,None/Apparently Normal
62932,1,
62933,1,"Under the Influence of Alcohol, Drugs or Medication"
62933,2,None/Apparently Normal
62934,1,
62935,1,None/Apparently Normal
62936,1,"Under the Influence of Alcohol, Drugs or Medication"
62937,1,"Under the Influence of Alcohol, Drugs or Medication"
62937,2,
62937,3,None/Apparently Normal
62937,4,None/Apparently Normal
62938,1,
62939,1,
62939,2,Other Physical Impairment
62940,1,Asleep or Fatigued
62941,1,
62941,2,None/Apparently Normal
62942,1,
62943,1,None/Apparently Normal
62944,1,"Under the Influence of Alcohol, Drugs or Medication"
62945,1,"Under the Influence of Alcohol, Drugs or Medication"
62946,1,None/Apparently Normal
62946,2,None/Apparently Normal
62947,1,None/Apparently Normal
62947,2,
62948,1,None/Apparently Normal
62949,1,None/Apparently Normal
62950,1,"Under the Influence of Alcohol, Drugs or Medication"
62951,1,"Under the Influence of Alcohol, Drugs or Medication"
62952,1,"Under the Influence of Alcohol, Drugs or Medication"
62952,2,None/Apparently Normal
62953,1,None/Apparently Normal
62954,1,
62955,1,None/Apparently Normal
62956,1,
62957,1,None/Apparently Normal
62958,1,
62958,2,
62959,1,
62960,1,"Under the Influence of Alcohol, Drugs or Medication"
62960,2,
62961,1,
62962,1,
62963,1,"Under the Influence of Alcohol, Drugs or Medication"
62964,1,
62964,2,None/Apparently Normal
62965,1,None/Apparently Normal
62965,2,
62966,1,None/Apparently Normal
62967,1,
62967,2,None/Apparently Normal
62968,1,None/Apparently Normal
62969,1,
62969,2,None/Apparently Normal
62970,1,None/Apparently Normal
62971,1,None/Apparently Normal
62972,1,
62973,1,"Under the Influence of Alcohol, Drugs or Medication"
62974,1,None/Apparently Normal
62974,2,None/Apparently Normal
62975,1,None/Apparently Normal
62976,1,
62977,1,None/Apparently Normal
62977,2,"Under the Influence of Alcohol, Drugs or Medication"
62978,1,None/Apparently Normal
62979,1,"Under the Influence of Alcohol, Drugs or Medication"
62980,1,"Under the Influence of Alcohol, Drugs or Medication"
62980,2,
62980,3,
62981,1,"Under the Influence of Alcohol, Drugs or Medication"
62981,2,
62982,1,Asleep or Fatigued
62983,1,None/Apparently Normal
62984,1,"Under the Influence of Alcohol, Drugs or Medication"
62985,1,
62985,2,
62986,1,
62987,1,None/Apparently Normal
62988,1,None/Apparently Normal
62988,2,None/Apparently Normal
62989,1,
62990,1,
62990,2,None/Apparently Normal
62992,1,
62993,1,None/Apparently Normal
62994,1,None/Apparently Normal
62994,2,None/Apparently Normal
62994,3,None/Apparently Normal
62995,1,"Under the Influence of Alcohol, Drugs or Medication"
62996,1,None/Apparently Normal
62997,1,None/Apparently Normal
62997,2,None/Apparently Normal
62998,1,
62999,1,None/Apparently Normal
63000,1,
63000,2,
63001,1,
63002,1,None/Apparently Normal
63002,2,None/Apparently Normal
63003,1,
63003,2,
63004,1,None/Apparently Normal
63004,2,None/Apparently Normal
63005,1,
63006,1,None/Apparently Normal
63006,2,
63007,1,"Under the Influence of Alcohol, Drugs or Medication"
63007,2,None/Apparently Normal
63008,1,None/Apparently Normal
63008,2,None/Apparently Normal
63009,1,
63010,1,"Under the Influence of Alcohol, Drugs or Medication"
63010,2,None/Apparently Normal
63011,1,None/Apparently Normal
63012,1,None/Apparently Normal
63012,2,None/Apparently Normal
63013,1,
63013,2,
63014,1,
63015,1,
63016,1,None/Apparently Normal
63017,1,
63018,1,
63019,1,None/Apparently Normal
63020,1,None/Apparently Normal
63020,2,None/Apparently Normal
63021,1,None/Apparently Normal
63021,2,None/Apparently Normal
63022,1,None/Apparently Normal
63022,2,
63023,1,
63024,1,
63025,1,None/Apparently Normal
63026,1,
63027,1,None/Apparently Normal
63027,2,None/Apparently Normal
63028,1,
63028,2,
63029,1,
63030,1,"Under the Influence of Alcohol, Drugs or Medication"
63030,2,None/Apparently Normal
63031,1,"Under the Influence of Alcohol, Drugs or Medication"
63031,2,None/Apparently Normal
63032,1,"Under the Influence of Alcohol, Drugs or Medication"
63032,2,None/Apparently Normal
63032,3,None/Apparently Normal
63032,4,None/Apparently Normal
63032,5,None/Apparently Normal
63033,1,None/Apparently Normal
63034,1,None/Apparently Normal
63035,1,
63035,2,None/Apparently Normal
63036,1,
63037,1,"Under the Influence of Alcohol, Drugs or Medication"
63039,1,"Under the Influence of Alcohol, Drugs or Medication"
63040,1,"Under the Influence of Alcohol, Drugs or Medication"
63041,1,"Under the Influence of Alcohol, Drugs or Medication"
63042,1,
63043,1,
63043,2,
63044,1,
63044,2,
63045,1,"Under the Influence of Alcohol, Drugs or Medication"
63045,2,
63046,1,"Under the Influence of Alcohol, Drugs or Medication"
63047,1,None/Apparently Normal
63048,1,None/Apparently Normal
63049,1,
63050,1,"Under the Influence of Alcohol, Drugs or Medication"
63051,1,
63052,1,Asleep or Fatigued
63053,1,None/Apparently Normal
63054,1,None/Apparently Normal
63054,2,
63054,3,
63054,4,None/Apparently Normal
63054,5,None/Apparently Normal
63054,6,None/Apparently Normal
63054,7,None/Apparently Normal
63055,1,"Under the Influence of Alcohol, Drugs or Medication"
63055,2,None/Apparently Normal
63056,1,
63057,1,None/Apparently Normal
63057,2,
63058,1,Asleep or Fatigued
63058,2,"Under the Influence of Alcohol, Drugs or Medication"
63059,1,"Under the Influence of Alcohol, Drugs or Medication"
63059,2,"Under the Influence of Alcohol, Drugs or Medication"
63060,1,None/Apparently Normal
63060,2,
63060,3,
63061,1,"Under the Influence of Alcohol, Drugs or Medication"
63062,1,
63063,1,"Under the Influence of Alcohol, Drugs or Medication"
63064,1,
63065,1,
63065,2,
63066,1,"Under the Influence of Alcohol, Drugs or Medication"
63067,1,"Under the Influence of Alcohol, Drugs or Medication"
63067,2,None/Apparently Normal
63068,1,None/Apparently Normal
63069,1,None/Apparently Normal
63069,2,
63070,1,None/Apparently Normal
63070,2,None/Apparently Normal
63071,1,
63072,1,"Under the Influence of Alcohol, Drugs or Medication"
63072,2,
63072,3,
63073,1,
63073,2,
63074,1,None/Apparently Normal
63074,2,None/Apparently Normal
63074,3,None/Apparently Normal
63075,1,None/Apparently Normal
63075,2,None/Apparently Normal
63075,3,None/Apparently Normal
63076,1,"Under the Influence of Alcohol, Drugs or Medication"
63076,2,None/Apparently Normal
63077,1,
63079,1,None/Apparently Normal
63079,2,
63080,1,
63081,1,"Under the Influence of Alcohol, Drugs or Medication"
63082,1,None/Apparently Normal
63083,1,
63084,1,"Under the Influence of Alcohol, Drugs or Medication"
63084,2,None/Apparently Normal
63085,1,"Under the Influence of Alcohol, Drugs or Medication"
63085,2,
63086,1,"Under the Influence of Alcohol, Drugs or Medication"
63086,2,None/Apparently Normal
63087,1,"Under the Influence of Alcohol, Drugs or Medication"
63087,2,"Under the Influence of Alcohol, Drugs or Medication"
63088,1,
63089,1,
63089,2,None/Apparently Normal
63090,1,
63091,1,"Under the Influence of Alcohol, Drugs or Medication"
63091,2,None/Apparently Normal
63091,3,None/Apparently Normal
63091,4,None/Apparently Normal
63091,5,None/Apparently Normal
63092,1,"Under the Influence of Alcohol, Drugs or Medication"
63093,1,None/Apparently Normal
63093,2,None/Apparently Normal
63094,1,"Under the Influence of Alcohol, Drugs or Medication"
63094,2,None/Apparently Normal
63095,1,"Under the Influence of Alcohol, Drugs or Medication"
63096,1,
63096,2,None/Apparently Normal
63097,1,
63098,1,None/Apparently Normal
63098,2,
63099,1,"Under the Influence of Alcohol, Drugs or Medication"
63099,2,None/Apparently Normal
63100,1,None/Apparently Normal
63100,2,None/Apparently Normal
63100,3,None/Apparently Normal
63101,1,
63101,2,
63102,1,None/Apparently Normal
63103,1,None/Apparently Normal
63104,1,None/Apparently Normal
63105,1,
63105,2,None/Apparently Normal
63106,1,None/Apparently Normal
63107,1,None/Apparently Normal
63107,2,
63108,1,"Under the Influence of Alcohol, Drugs or Medication"
63109,1,
63109,2,
63110,1,None/Apparently Normal
63111,1,
63111,2,
63112,1,None/Apparently Normal
63113,1,None/Apparently Normal
63114,1,None/Apparently Normal
63115,1,None/Apparently Normal
63116,1,"Under the Influence of Alcohol, Drugs or Medication"
63116,2,None/Apparently Normal
63117,1,
63117,2,None/Apparently Normal
63118,1,"Under the Influence of Alcohol, Drugs or Medication"
63118,2,
63119,1,None/Apparently Normal
63120,1,
63121,1,
63122,1,"Under the Influence of Alcohol, Drugs or Medication"
63122,2,None/Apparently Normal
63123,1,
63124,1,None/Apparently Normal
63125,1,None/Apparently Normal
63125,2,None/Apparently Normal
63125,3,None/Apparently Normal
63126,1,None/Apparently Normal
63126,2,None/Apparently Normal
63127,1,
63128,1,
63128,2,None/Apparently Normal
63128,3,None/Apparently Normal
63129,1,None/Apparently Normal
63130,1,
63130,2,
63131,1,None/Apparently Normal
63131,2,
63132,1,
63133,1,
63134,1,
63134,2,None/Apparently Normal
63135,1,
63136,1,
63136,2,None/Apparently Normal
63136,3,
63136,4,None/Apparently Normal
63137,1,
63137,2,
63137,3,
63138,1,
63139,1,"Under the Influence of Alcohol, Drugs or Medication"
63139,2,None/Apparently Normal
63139,3,None/Apparently Normal
63140,1,None/Apparently Normal
63140,2,None/Apparently Normal
63140,3,None/Apparently Normal
63140,4,None/Apparently Normal
63141,1,None/Apparently Normal
63141,2,None/Apparently Normal
63142,1,"Under the Influence of Alcohol, Drugs or Medication"
63142,2,
63143,1,"Under the Influence of Alcohol, Drugs or Medication"
63143,2,"Under the Influence of Alcohol, Drugs or Medication"
63144,1,
63145,1,
63145,2,
63146,1,"Under the Influence of Alcohol, Drugs or Medication"
63146,2,
63147,1,
63148,1,None/Apparently Normal
63148,2,None/Apparently Normal
63149,1,
63150,1,None/Apparently Normal
63151,1,
63151,2,"Under the Influence of Alcohol, Drugs or Medication"
63152,1,
63153,1,None/Apparently Normal
63154,1,
63154,2,
63154,3,None/Apparently Normal
63155,1,"Under the Influence of Alcohol, Drugs or Medication"
63155,2,
63156,1,"Under the Influence of Alcohol, Drugs or Medication"
63157,1,None/Apparently Normal
63158,1,
63159,1,
63160,1,
63161,1,
63161,2,None/Apparently Normal
63162,1,"Under the Influence of Alcohol, Drugs or Medication"
63162,2,"Under the Influence of Alcohol, Drugs or Medication"
63163,1,Asleep or Fatigued
63163,1,"Under the Influence of Alcohol, Drugs or Medication"
63164,1,
63164,2,None/Apparently Normal
63165,1,None/Apparently Normal
63166,1,Asleep or Fatigued
63166,2,None/Apparently Normal
63167,1,"Under the Influence of Alcohol, Drugs or Medication"
63168,1,"Under the Influence of Alcohol, Drugs or Medication"
63169,1,
63170,1,None/Apparently Normal
63171,1,None/Apparently Normal
63171,2,None/Apparently Normal
63172,1,None/Apparently Normal
63173,1,None/Apparently Normal
63174,1,
63175,1,"Under the Influence of Alcohol, Drugs or Medication"
63176,1,"Under the Influence of Alcohol, Drugs or Medication"
63176,2,
63177,1,None/Apparently Normal
63178,1,
63179,1,None/Apparently Normal
63180,1,None/Apparently Normal
63181,1,"Under the Influence of Alcohol, Drugs or Medication"
63181,2,
63181,3,None/Apparently Normal
63182,1,None/Apparently Normal
63182,2,None/Apparently Normal
63183,1,
63184,1,
63184,2,None/Apparently Normal
63185,1,None/Apparently Normal
63185,2,
63186,1,
63187,1,
63188,1,
63188,2,
63189,1,None/Apparently Normal
63190,1,"Under the Influence of Alcohol, Drugs or Medication"
63190,2,None/Apparently Normal
63190,3,None/Apparently Normal
63191,1,None/Apparently Normal
63191,2,
63192,1,None/Apparently Normal
63193,1,None/Apparently Normal
63194,1,None/Apparently Normal
63194,2,
63195,1,"Under the Influence of Alcohol, Drugs or Medication"
63195,2,None/Apparently Normal
63196,1,None/Apparently Normal
63197,1,None/Apparently Normal
63198,1,
63198,2,None/Apparently Normal
63199,1,
63200,1,
63200,2,
63201,1,"Under the Influence of Alcohol, Drugs or Medication"
63201,2,None/Apparently Normal
63202,1,None/Apparently Normal
63203,1,None/Apparently Normal
63204,1,
63205,1,"Under the Influence of Alcohol, Drugs or Medication"
63206,1,None/Apparently Normal
63206,2,"Under the Influence of Alcohol, Drugs or Medication"
63207,1,
63207,2,None/Apparently Normal
63208,1,None/Apparently Normal
63209,1,"Under the Influence of Alcohol, Drugs or Medication"
63210,1,
63210,2,None/Apparently Normal
63211,1,
63212,1,
63213,1,
63213,2,
63213,3,None/Apparently Normal
63214,1,
63215,1,None/Apparently Normal
63216,1,
63218,1,"Under the Influence of Alcohol, Drugs or Medication"
63219,1,
63220,1,"Under the Influence of Alcohol, Drugs or Medication"
63220,2,
63221,1,"Under the Influence of Alcohol, Drugs or Medication"
63222,1,None/Apparently Normal
63222,2,"Under the Influence of Alcohol, Drugs or Medication"
63222,3,
63223,1,
63224,1,
63225,1,
63226,1,
63227,1,
63228,1,"Under the Influence of Alcohol, Drugs or Medication"
63229,1,
63230,1,None/Apparently Normal
63230,2,"Under the Influence of Alcohol, Drugs or Medication"
63230,3,None/Apparently Normal
63231,1,
63231,2,None/Apparently Normal
63231,3,None/Apparently Normal
63232,1,
63232,2,None/Apparently Normal
63233,1,None/Apparently Normal
63234,1,
63234,2,None/Apparently Normal
63235,1,
63236,1,None/Apparently Normal
63236,2,None/Apparently Normal
63236,3,None/Apparently Normal
63237,1,
63237,2,
63238,1,"Under the Influence of Alcohol, Drugs or Medication"
63238,2,
63239,1,Physical Impairment - No Details
63240,1,
63240,2,None/Apparently Normal
63241,1,None/Apparently Normal
63241,2,
63242,1,None/Apparently Normal
63242,2,None/Apparently Normal
63243,1,
63244,1,None/Apparently Normal
63244,2,
63245,1,
63245,2,None/Apparently Normal
63246,1,
63246,2,"Under the Influence of Alcohol, Drugs or Medication"
63247,1,
63248,1,"Under the Influence of Alcohol, Drugs or Medication"
63249,1,"Under the Influence of Alcohol, Drugs or Medication"
63250,1,None/Apparently Normal
63250,2,"Under the Influence of Alcohol, Drugs or Medication"
63251,1,None/Apparently Normal
63252,1,"Under the Influence of Alcohol, Drugs or Medication"
63252,2,None/Apparently Normal
63253,1,None/Apparently Normal
63254,1,"Under the Influence of Alcohol, Drugs or Medication"
63255,1,
63256,1,None/Apparently Normal
63257,1,None/Apparently Normal
63258,1,
63258,2,
63259,1,
63260,1,
63261,1,"Under the Influence of Alcohol, Drugs or Medication"
63261,2,"Under the Influence of Alcohol, Drugs or Medication"
63262,1,"Under the Influence of Alcohol, Drugs or Medication"
63263,1,"Under the Influence of Alcohol, Drugs or Medication"
63263,2,
63264,1,
63265,1,"Under the Influence of Alcohol, Drugs or Medication"
63265,2,
63266,1,
63267,1,
63268,1,
63269,1,
63269,2,None/Apparently Normal
63270,1,
63271,1,"Under the Influence of Alcohol, Drugs or Medication"
63271,2,
63272,1,None/Apparently Normal
63272,2,None/Apparently Normal
63272,3,None/Apparently Normal
63272,4,None/Apparently Normal
63272,5,None/Apparently Normal
63273,1,"Under the Influence of Alcohol, Drugs or Medication"
63274,1,None/Apparently Normal
63275,1,"Under the Influence of Alcohol, Drugs or Medication"
63276,1,"Under the Influence of Alcohol, Drugs or Medication"
63276,2,None/Apparently Normal
63277,1,None/Apparently Normal
63277,2,None/Apparently Normal
63277,3,None/Apparently Normal
63278,1,None/Apparently Normal
63279,1,
63280,1,
63281,1,
63282,1,
63282,2,
63283,1,None/Apparently Normal
63284,1,
63285,1,None/Apparently Normal
63286,1,"Under the Influence of Alcohol, Drugs or Medication"
